,output,target,rel_error
22,108.5464,71.0,-0.52882254
80,115.64075,80.0,-0.44550934
86,103.70731,87.0,-0.19203809
62,120.65835,91.0,-0.3259159
127,127.70578,92.0,-0.38810632
40,128.63078,104.0,-0.23683445
122,169.02454,143.0,-0.18198976
104,182.27327,154.0,-0.18359266
34,162.88768,155.0,-0.05088826
167,152.90404,156.0,0.019845914
129,154.54428,163.0,0.051875576
82,176.72911,178.0,0.0071398276
151,204.07063,192.0,-0.06286788
57,190.34662,202.0,0.057690006
3,215.99307,205.0,-0.053624745
156,192.66968,215.0,0.103861965
175,235.8962,221.0,-0.06740359
60,256.66608,231.0,-0.11110856
177,224.99022,236.0,0.046651613
13,256.84412,255.0,-0.0072318283
121,258.08173,274.0,0.05809589
112,280.19244,289.0,0.030475972
16,296.61975,297.0,0.0012802997
161,350.37103,298.0,-0.17574172
35,273.86682,301.0,0.09014345
30,308.762,301.0,-0.025787354
12,284.67123,304.0,0.06358147
128,236.74559,316.0,0.25080508
102,371.29788,318.0,-0.1676034
71,315.399,329.0,0.041340467
124,312.32092,342.0,0.08678093
144,265.49686,344.0,0.22820681
75,355.36832,344.0,-0.033047434
23,393.9145,346.0,-0.13848118
24,369.90402,346.0,-0.06908677
115,371.0389,352.0,-0.054087814
99,398.35785,363.0,-0.09740454
7,364.94077,363.0,-0.005346461
56,424.15765,365.0,-0.16207576
25,326.6836,369.0,0.11467861
85,425.69186,371.0,-0.14741743
96,346.7343,381.0,0.08993618
61,471.25092,403.0,-0.1693571
51,426.70938,445.0,0.041102514
65,465.5927,451.0,-0.032356348
118,484.9461,457.0,-0.061151218
15,486.22766,465.0,-0.045650885
147,532.904,473.0,-0.12664692
19,468.97314,479.0,0.020932892
67,544.1541,489.0,-0.1127896
139,481.71576,491.0,0.01890884
58,480.53687,491.0,0.021309847
47,481.76505,493.0,0.022788955
41,466.0755,505.0,0.077078216
73,510.09653,519.0,0.017155053
162,571.54944,531.0,-0.07636429
160,536.3754,535.0,-0.002570892
98,472.60507,536.0,0.11827412
101,570.4347,545.0,-0.04666916
21,533.2873,547.0,0.025068935
87,516.75977,548.0,0.057007726
27,522.2043,549.0,0.048808224
94,491.9564,553.0,0.110386275
173,572.1259,578.0,0.010162776
158,590.6353,582.0,-0.014837311
92,652.5279,593.0,-0.1003843
72,531.9314,603.0,0.11785838
79,530.8504,605.0,0.12256132
44,626.5512,610.0,-0.02713313
140,638.0064,615.0,-0.037408795
81,671.8749,630.0,-0.06646806
114,674.0368,635.0,-0.06147528
38,593.61865,637.0,0.06810258
109,593.6528,642.0,0.07530721
165,608.83966,659.0,0.07611584
36,605.9064,660.0,0.081960045
74,651.11127,660.0,0.0134677775
8,721.3052,666.0,-0.0830408
159,640.0594,669.0,0.043259513
11,567.1387,671.0,0.15478589
78,710.85614,679.0,-0.046916258
105,743.9216,689.0,-0.079712
113,683.2882,693.0,0.0140141295
28,641.902,695.0,0.076400034
145,711.93884,698.0,-0.019969689
77,776.0072,702.0,-0.10542337
89,670.8078,713.0,0.059175596
6,774.3661,713.0,-0.086067446
111,654.53424,746.0,0.12260826
4,723.5034,755.0,0.041717328
52,823.9148,757.0,-0.08839471
46,696.3259,758.0,0.081364214
108,699.76636,758.0,0.07682539
143,685.89557,763.0,0.1010543
91,742.7125,766.0,0.030401405
48,735.9616,768.0,0.041716654
155,850.21533,783.0,-0.08584334
31,762.35504,786.0,0.030082645
76,862.216,791.0,-0.090032876
130,796.14703,821.0,0.030271579
106,880.0159,840.0,-0.047638014
20,826.80884,840.0,0.015703764
120,834.3529,864.0,0.03431377
153,906.14453,870.0,-0.04154544
146,909.9741,885.0,-0.028219346
93,924.0345,886.0,-0.042928312
0,927.6615,900.0,-0.030735
45,820.246,910.0,0.0986308
125,1008.11804,912.0,-0.10539259
39,890.6321,913.0,0.024499364
64,934.18445,921.0,-0.014315362
166,986.24274,936.0,-0.053678136
117,1035.8965,970.0,-0.06793452
43,986.59753,989.0,0.0024291868
54,1006.1507,990.0,-0.016313834
26,968.0714,994.0,0.0260851
18,956.5459,1005.0,0.048213035
116,1052.8246,1009.0,-0.04343368
169,1045.3953,1015.0,-0.029946072
178,918.67645,1032.0,0.10980964
134,1034.0793,1054.0,0.018900052
110,1148.3281,1056.0,-0.08743194
59,954.28687,1057.0,0.097174205
50,1055.2054,1072.0,0.015666563
5,1111.5769,1073.0,-0.03595238
132,1049.6345,1077.0,0.025408987
126,957.7934,1084.0,0.11642676
168,1114.6222,1108.0,-0.005976708
174,1191.2411,1113.0,-0.07029747
14,1044.8611,1115.0,0.06290486
131,1095.7474,1121.0,0.02252682
69,1050.7955,1141.0,0.07905738
152,1183.4087,1148.0,-0.030843807
53,1148.3999,1160.0,0.0100000845
55,1193.7745,1167.0,-0.022943048
149,1142.9192,1192.0,0.041175175
2,1200.3789,1233.0,0.026456686
63,1254.1201,1267.0,0.010165653
49,1314.6511,1300.0,-0.011270095
137,1167.8298,1309.0,0.10784581
157,1263.9009,1315.0,0.03885865
42,1280.7216,1349.0,0.050614115
66,1339.1626,1387.0,0.034489837
119,1431.9187,1402.0,-0.021340014
32,1240.8755,1403.0,0.11555561
9,1472.5045,1409.0,-0.04507063
95,1493.2238,1428.0,-0.045674898
10,1419.8076,1436.0,0.011276033
164,1313.6342,1453.0,0.09591593
1,1458.5752,1496.0,0.02501658
123,1523.1307,1516.0,-0.0047036526
17,1587.1187,1526.0,-0.040051542
150,1593.7192,1554.0,-0.025559355
133,1477.0571,1562.0,0.054380838
163,1537.3379,1564.0,0.017047385
70,1483.581,1567.0,0.05323481
88,1593.2106,1570.0,-0.014783803
141,1703.5159,1675.0,-0.0170244
83,1651.8479,1694.0,0.024883175
84,1820.5557,1695.0,-0.07407414
172,1744.0443,1735.0,-0.0052128597
135,1769.1241,1741.0,-0.016154017
29,1853.99,1776.0,-0.043913282
171,1664.5459,1802.0,0.076278634
107,1863.1187,1826.0,-0.02032785
33,1836.7605,1836.0,-0.00041421462
136,1997.564,1985.0,-0.0063294536
148,1926.1394,1993.0,0.033547714
68,2041.847,2051.0,0.004462679
97,2077.2234,2088.0,0.0051612123
154,2169.366,2109.0,-0.028623028
138,2142.0688,2160.0,0.008301459
179,2158.1172,2164.0,0.00271849
90,1930.2019,2215.0,0.12857702
170,2407.0828,2381.0,-0.010954542
37,2378.3936,2452.0,0.030018942
100,2736.213,2505.0,-0.09230056
176,2194.4585,2560.0,0.14278965
142,2897.9492,2799.0,-0.035351634
103,3091.105,3046.0,-0.014807939
