,output,target,rel_error
22,106.17485,71.0,-0.49542043
80,114.67076,80.0,-0.4333845
86,99.80699,87.0,-0.1472068
62,117.101326,91.0,-0.28682777
127,113.193855,92.0,-0.23036799
40,121.39642,104.0,-0.1672733
122,171.50172,143.0,-0.19931276
104,182.3931,154.0,-0.18437076
34,173.94714,155.0,-0.122239634
167,167.6276,156.0,-0.07453586
129,170.83647,163.0,-0.048076514
82,188.26851,178.0,-0.05768825
151,194.3823,192.0,-0.01240778
57,203.67513,202.0,-0.008292698
3,225.4985,205.0,-0.09999271
156,203.99925,215.0,0.05116627
175,242.996,221.0,-0.09952942
60,260.763,231.0,-0.12884416
177,233.52927,236.0,0.01046921
13,242.8631,255.0,0.047595695
121,269.3863,274.0,0.016838351
112,294.67258,289.0,-0.019628294
16,296.54095,297.0,0.0015456075
161,344.96625,298.0,-0.15760486
35,301.68613,301.0,-0.0022794907
30,305.73154,301.0,-0.015719391
12,291.16724,304.0,0.042213038
128,262.12323,316.0,0.1704961
102,333.6415,318.0,-0.04918714
71,328.17752,329.0,0.0024999368
124,331.2105,342.0,0.031548217
144,290.75864,344.0,0.1547714
75,368.18167,344.0,-0.07029556
23,384.73233,346.0,-0.11194315
24,375.2738,346.0,-0.08460637
115,374.36194,352.0,-0.06352823
99,399.81512,363.0,-0.10141908
7,351.81635,363.0,0.030808967
56,372.93088,365.0,-0.021728432
25,316.50165,369.0,0.14227195
85,411.82047,371.0,-0.11002821
96,375.92477,381.0,0.013320803
61,441.09222,403.0,-0.09452165
51,440.0886,445.0,0.011036871
65,448.6772,451.0,0.0051503656
118,470.62408,457.0,-0.029812
15,467.33853,465.0,-0.0050291
147,511.8581,473.0,-0.08215242
19,482.2088,479.0,-0.006698959
67,500.68854,489.0,-0.02390294
139,507.84387,491.0,-0.034305237
58,496.48273,491.0,-0.011166451
47,512.1746,493.0,-0.038893756
41,495.52197,505.0,0.01876837
73,518.0497,519.0,0.0018310547
162,576.9467,531.0,-0.08652866
160,538.01013,535.0,-0.0056264144
98,522.27606,536.0,0.025604362
101,563.08844,545.0,-0.0331898
21,570.093,547.0,-0.042217582
87,498.92285,548.0,0.08955684
27,540.3701,549.0,0.015719276
94,521.01355,553.0,0.05784168
173,597.8754,578.0,-0.034386553
158,600.8577,582.0,-0.03240159
92,620.90265,593.0,-0.04705337
72,573.41156,603.0,0.049068723
79,564.8978,605.0,0.06628458
44,661.7524,610.0,-0.08483997
140,611.3709,615.0,0.005900958
81,665.5082,630.0,-0.05636219
114,642.4585,635.0,-0.011745663
38,617.58167,637.0,0.030484043
109,599.42206,642.0,0.066320784
165,624.09296,659.0,0.052969716
36,624.17303,660.0,0.05428328
74,627.1361,660.0,0.049793776
8,695.0265,666.0,-0.04358332
159,634.7672,669.0,0.05117009
11,623.2704,671.0,0.071132064
78,665.93634,679.0,0.019239558
105,735.332,689.0,-0.06724524
113,700.0924,693.0,-0.010234354
28,642.2043,695.0,0.075965054
145,709.19543,698.0,-0.016039304
77,761.4864,702.0,-0.08473845
89,729.3189,713.0,-0.02288767
6,756.5402,713.0,-0.06106623
111,698.28357,746.0,0.06396304
4,756.48944,755.0,-0.0019727694
52,805.1673,757.0,-0.06362919
46,741.1108,758.0,0.022281295
108,664.62823,758.0,0.123181745
143,725.20276,763.0,0.04953767
91,765.711,766.0,0.00037728652
48,777.08307,768.0,-0.011826913
155,772.0367,783.0,0.014001683
31,786.78424,786.0,-0.0009977617
76,819.7865,791.0,-0.03639254
130,818.97766,821.0,0.002463263
106,869.647,840.0,-0.035294015
20,827.69434,840.0,0.0146496
120,807.5499,864.0,0.065335736
153,856.44116,870.0,0.015584871
146,909.8782,885.0,-0.02811093
93,929.6941,886.0,-0.04931613
0,915.0064,900.0,-0.016673787
45,864.99146,910.0,0.049459938
125,978.8041,912.0,-0.073250085
39,875.15735,913.0,0.041448686
64,920.0571,921.0,0.0010237471
166,969.9636,936.0,-0.036285922
