,output,target,rel_error
22,129.67178,71.0,-0.82636315
80,148.77399,80.0,-0.8596748
86,122.68422,87.0,-0.41016343
62,143.52795,91.0,-0.5772303
127,133.70071,92.0,-0.45326862
40,141.7434,104.0,-0.36291724
122,192.05116,143.0,-0.34301513
104,198.51677,154.0,-0.28906992
34,180.34311,155.0,-0.16350393
167,170.1269,156.0,-0.0905571
129,184.05055,163.0,-0.12914449
82,194.6838,178.0,-0.09372926
151,196.3413,192.0,-0.022610903
57,206.23222,202.0,-0.0209516
3,245.6171,205.0,-0.19813217
156,186.4224,215.0,0.1329191
175,279.84827,221.0,-0.26628175
60,294.80777,231.0,-0.2762241
177,233.85764,236.0,0.009077815
13,243.59631,255.0,0.04472034
121,258.69476,274.0,0.05585853
112,312.19028,289.0,-0.08024317
16,297.3952,297.0,-0.0013306487
161,396.921,298.0,-0.33194962
35,308.0167,301.0,-0.023311272
30,303.766,301.0,-0.009189339
12,300.906,304.0,0.010177612
128,235.85326,316.0,0.25362894
102,382.8254,318.0,-0.20385349
71,342.31958,329.0,-0.040485047
124,317.22934,342.0,0.07242883
144,237.77171,344.0,0.30880317
75,383.01422,344.0,-0.11341343
23,430.98114,346.0,-0.24561024
24,403.20847,346.0,-0.16534239
115,400.02686,352.0,-0.13643993
99,405.82657,363.0,-0.11797953
7,377.91748,363.0,-0.04109499
56,415.2066,365.0,-0.13755234
25,331.54477,369.0,0.10150469
85,456.74713,371.0,-0.23112434
96,370.9582,381.0,0.026356455
61,484.6955,403.0,-0.20271835
51,413.46066,445.0,0.070874915
65,472.9318,451.0,-0.048629254
118,512.8153,457.0,-0.12213415
15,496.69867,465.0,-0.068169184
147,565.6488,473.0,-0.19587485
19,477.0973,479.0,0.0039722547
67,550.9078,489.0,-0.12660077
139,515.9932,491.0,-0.0509027
58,498.36688,491.0,-0.015003834
47,503.88028,493.0,-0.022069532
41,490.99734,505.0,0.02772803
73,521.5088,519.0,-0.00483389
162,572.59406,531.0,-0.07833155
160,512.40216,535.0,0.04223895
98,459.64993,536.0,0.14244415
101,580.7616,545.0,-0.065617606
21,560.987,547.0,-0.025570383
87,523.1107,548.0,0.045418397
27,534.6832,549.0,0.02607791
94,506.93576,553.0,0.0832988
173,585.26306,578.0,-0.01256585
158,604.1648,582.0,-0.03808384
92,655.0915,593.0,-0.104707405
72,530.68036,603.0,0.11993307
79,516.01556,605.0,0.14708172
44,698.3061,610.0,-0.14476408
140,602.6617,615.0,0.020062305
81,681.72363,630.0,-0.082101
114,657.8397,635.0,-0.035968065
38,637.0097,637.0,-1.5234835e-05
109,616.17896,642.0,0.040219694
165,632.7409,659.0,0.039846882
36,625.33716,660.0,0.052519456
74,629.21783,660.0,0.046639644
8,702.4054,666.0,-0.054662757
159,664.70105,669.0,0.0064259344
11,536.4168,671.0,0.20057108
78,700.7577,679.0,-0.032043725
105,750.21643,689.0,-0.08884823
113,704.82153,693.0,-0.01705849
28,656.03357,695.0,0.056066807
145,739.1486,698.0,-0.05895218
77,807.74,702.0,-0.15062676
89,740.98895,713.0,-0.039255194
6,773.5502,713.0,-0.0849231
111,629.07886,746.0,0.15673076
4,740.65015,755.0,0.01900643
52,856.1233,757.0,-0.13094226
46,717.6671,758.0,0.05320961
108,681.2558,758.0,0.10124565
143,656.79205,763.0,0.13919783
91,785.3682,766.0,-0.02528489
48,771.87146,768.0,-0.0050409636
155,814.00494,783.0,-0.03959763
31,763.00854,786.0,0.029251216
76,843.3733,791.0,-0.06621149
130,831.7435,821.0,-0.013085907
106,910.1807,840.0,-0.08354848
20,840.86346,840.0,-0.0010279338
120,827.2102,864.0,0.04258078
153,895.581,870.0,-0.02940344
146,932.5905,885.0,-0.05377459
93,932.0167,886.0,-0.05193761
0,935.64923,900.0,-0.039610256
45,867.7949,910.0,0.04637921
125,1021.2114,912.0,-0.11974937
39,910.15906,913.0,0.0031116565
64,939.1356,921.0,-0.019691227
166,1000.38385,936.0,-0.06878617
117,1058.658,970.0,-0.09139996
43,1016.1008,989.0,-0.027402256
54,1029.0117,990.0,-0.039405778
26,992.95447,994.0,0.0010518433
18,940.8248,1005.0,0.063855894
116,1044.2278,1009.0,-0.034913562
169,1014.6767,1015.0,0.00031852533
178,918.3008,1032.0,0.110173665
134,1019.7307,1054.0,0.032513555
110,1121.0315,1056.0,-0.061582856
59,984.38196,1057.0,0.06870203
50,1043.5493,1072.0,0.026539817
5,1088.8489,1073.0,-0.014770621
132,1023.6322,1077.0,0.049552273
126,988.0885,1084.0,0.08847924
168,1096.6521,1108.0,0.010241787
174,1153.195,1113.0,-0.03611406
14,1061.4329,1115.0,0.048042275
131,1069.0325,1121.0,0.046358187
69,1025.7172,1141.0,0.10103667
152,1175.3818,1148.0,-0.023851773
53,1159.1709,1160.0,0.00071474275
55,1154.4454,1167.0,0.010757983
149,1145.2526,1192.0,0.039217647
2,1158.3668,1233.0,0.060529746
63,1270.511,1267.0,-0.0027711021
49,1277.7479,1300.0,0.01711698
137,1105.1946,1309.0,0.15569551
157,1264.8652,1315.0,0.038125295
42,1225.2974,1349.0,0.09169951
66,1350.3779,1387.0,0.0264038
119,1437.9608,1402.0,-0.025649654
32,1273.156,1403.0,0.092547394
9,1419.8339,1409.0,-0.0076890434
95,1516.9492,1428.0,-0.06228937
10,1438.9869,1436.0,-0.0020800408
164,1301.5068,1453.0,0.10426233
1,1448.602,1496.0,0.03168312
123,1483.6372,1516.0,0.02134749
17,1530.236,1526.0,-0.0027758598
150,1554.7056,1554.0,-0.00045403244
133,1526.685,1562.0,0.022608798
163,1519.1377,1564.0,0.028684339
70,1482.0071,1567.0,0.05423926
88,1577.8723,1570.0,-0.005014213
141,1688.2412,1675.0,-0.0079052
83,1677.832,1694.0,0.009544255
84,1762.4899,1695.0,-0.03981703
172,1731.4634,1735.0,0.0020383983
135,1762.7499,1741.0,-0.01249275
29,1833.546,1776.0,-0.03240204
171,1724.2351,1802.0,0.04315477
107,1847.7017,1826.0,-0.011884809
33,1854.8445,1836.0,-0.010263879
136,1990.1648,1985.0,-0.0026019118
148,1940.22,1993.0,0.026482705
68,2047.0039,2051.0,0.0019483636
97,2051.401,2088.0,0.017528314
154,2089.3806,2109.0,0.009302695
138,2134.6243,2160.0,0.011748024
179,2127.2854,2164.0,0.01696608
90,2046.5918,2215.0,0.07603079
170,2380.3447,2381.0,0.00027520934
37,2472.0095,2452.0,-0.00816049
100,2581.4922,2505.0,-0.030535804
176,2378.4248,2560.0,0.07092781
142,2921.2095,2799.0,-0.043661833
103,3131.2673,3046.0,-0.027993215
