,output,target,rel_error
22,114.63381,71.0,-0.6145607
80,121.97539,80.0,-0.52469236
86,115.207214,87.0,-0.32422087
62,128.8548,91.0,-0.41598678
127,128.99019,92.0,-0.40206727
40,138.527,104.0,-0.3319903
122,176.65964,143.0,-0.23538208
104,185.33118,154.0,-0.2034492
34,171.98724,155.0,-0.10959512
167,170.78694,156.0,-0.09478809
129,169.78967,163.0,-0.041654434
82,191.37094,178.0,-0.07511765
151,200.16745,192.0,-0.042538803
57,204.25688,202.0,-0.011172682
3,219.64752,205.0,-0.07145133
156,208.02304,215.0,0.032450974
175,245.55566,221.0,-0.1111116
60,255.78609,231.0,-0.107299075
177,231.82912,236.0,0.017673234
13,242.26886,255.0,0.04992604
121,261.80594,274.0,0.044503875
112,282.11877,289.0,0.023810469
16,301.69095,297.0,-0.01579444
161,341.87668,298.0,-0.14723718
35,303.57632,301.0,-0.008559218
30,304.61026,301.0,-0.011994219
12,282.1975,304.0,0.071718715
128,259.77765,316.0,0.17791884
102,326.7902,318.0,-0.027642112
71,310.3025,329.0,0.056831338
124,326.74728,342.0,0.044598583
144,289.90372,344.0,0.15725663
75,360.98993,344.0,-0.04938933
23,383.40063,346.0,-0.10809432
24,372.46667,346.0,-0.07649328
115,366.5666,352.0,-0.041382357
99,399.3092,363.0,-0.100025356
7,339.9979,363.0,0.06336668
56,391.08945,365.0,-0.071477935
25,304.48553,369.0,0.17483595
85,403.41962,371.0,-0.08738441
96,374.00815,381.0,0.018351316
61,452.33618,403.0,-0.122422285
51,441.18906,445.0,0.008563918
65,444.24323,451.0,0.0149817625
118,483.66306,457.0,-0.058343668
15,480.9013,465.0,-0.03419636
147,514.0703,473.0,-0.08682942
19,479.85822,479.0,-0.0017916813
67,504.398,489.0,-0.031488772
139,498.87762,491.0,-0.016044041
58,496.04947,491.0,-0.010284051
47,507.43228,493.0,-0.029274404
41,497.40405,505.0,0.01504148
73,511.83636,519.0,0.013802766
162,575.123,531.0,-0.083094135
160,533.0464,535.0,0.0036516136
98,516.0659,536.0,0.037190452
101,565.2081,545.0,-0.037079137
21,554.9433,547.0,-0.014521569
87,493.60358,548.0,0.09926355
27,535.9765,549.0,0.02372222
94,516.692,553.0,0.06565639
173,592.2329,578.0,-0.024624413
158,601.5447,582.0,-0.03358192
92,627.18945,593.0,-0.057655063
72,561.56885,603.0,0.068708375
79,558.0917,605.0,0.07753442
44,657.0571,610.0,-0.077142835
140,623.11115,615.0,-0.013188854
81,674.8136,630.0,-0.0711327
114,646.501,635.0,-0.018111775
38,615.34906,637.0,0.033988915
109,604.9309,642.0,0.057740018
165,624.81995,659.0,0.051866546
36,614.5533,660.0,0.06885866
74,630.01105,660.0,0.045437805
8,693.3864,666.0,-0.04112074
159,635.41125,669.0,0.05020739
11,608.16785,671.0,0.093639575
78,662.27136,679.0,0.024637168
105,740.4431,689.0,-0.074663445
113,697.9757,693.0,-0.0071799536
28,608.47736,695.0,0.12449301
145,704.1282,698.0,-0.008779619
77,775.50165,702.0,-0.1047032
89,710.4099,713.0,0.003632662
6,772.921,713.0,-0.0840407
111,684.9302,746.0,0.08186304
4,727.39417,755.0,0.03656402
52,826.9409,757.0,-0.09239223
46,720.85754,758.0,0.049000602
108,656.7167,758.0,0.13361916
143,709.0099,763.0,0.0707603
91,759.69836,766.0,0.008226679
48,764.8646,768.0,0.004082521
155,795.5077,783.0,-0.015974062
31,776.92926,786.0,0.011540381
76,831.8092,791.0,-0.051591914
130,822.55,821.0,-0.0018879267
106,878.2636,840.0,-0.04555192
20,842.99744,840.0,-0.0035683769
120,816.1858,864.0,0.05534052
153,877.1729,870.0,-0.008244727
146,915.055,885.0,-0.033960443
93,934.94006,886.0,-0.055237092
0,943.87805,900.0,-0.048753392
45,832.5254,910.0,0.085136935
125,989.6972,912.0,-0.085194305
39,893.69104,913.0,0.021148916
64,936.00916,921.0,-0.016296586
166,984.32227,936.0,-0.05162635
117,1060.8218,970.0,-0.0936307
43,971.7207,989.0,0.017471483
