,output,target,rel_error
22,1149.5574,71.0,-15.1909485
80,1150.5889,80.0,-13.38236
86,1148.4531,87.0,-12.20061
62,1149.5485,91.0,-11.6324005
127,1149.1793,92.0,-11.491079
40,1149.0312,104.0,-10.048377
122,1151.9073,143.0,-7.055296
104,1150.6866,154.0,-6.471991
34,1150.086,155.0,-6.41991
167,1150.2926,156.0,-6.3736706
129,1150.846,163.0,-6.060405
82,1150.7561,178.0,-5.464922
151,1151.3622,192.0,-4.996678
57,1150.8948,202.0,-4.697499
3,1152.4296,205.0,-4.621608
156,1150.396,215.0,-4.350679
175,1154.8379,221.0,-4.2255106
60,1153.6123,231.0,-3.9939926
177,1151.4972,236.0,-3.8792255
13,1152.8127,255.0,-3.5208342
121,1154.2313,274.0,-3.212523
112,1154.7031,289.0,-2.9955125
16,1153.8917,297.0,-2.8851573
161,1156.8931,298.0,-2.8821914
35,1153.5459,301.0,-2.8323784
30,1154.1935,301.0,-2.8345299
12,1154.0627,304.0,-2.796259
128,1153.3247,316.0,-2.6497617
102,1158.6007,318.0,-2.6433985
71,1156.101,329.0,-2.5139847
124,1154.3821,342.0,-2.3753862
144,1152.5588,344.0,-2.3504617
75,1156.4167,344.0,-2.3616767
23,1159.2255,346.0,-2.3503625
24,1156.6434,346.0,-2.3429
115,1156.0345,352.0,-2.284189
99,1156.3843,363.0,-2.1856315
7,1158.48,363.0,-2.1914048
56,1157.783,365.0,-2.172008
25,1157.5869,369.0,-2.1370919
85,1159.2852,371.0,-2.1247578
96,1155.9803,381.0,-2.034069
61,1160.7468,403.0,-1.8802651
51,1156.0978,445.0,-1.5979725
65,1160.2219,451.0,-1.5725541
118,1160.6573,457.0,-1.5397316
15,1161.8367,465.0,-1.4985735
147,1163.5569,473.0,-1.4599512
19,1158.4891,479.0,-1.4185576
67,1161.967,489.0,-1.3762107
139,1160.1873,491.0,-1.3629068
58,1158.1514,491.0,-1.3587605
47,1157.902,493.0,-1.3486855
41,1159.3785,505.0,-1.2957991
73,1160.478,519.0,-1.2359885
162,1172.017,531.0,-1.2071882
160,1159.8893,535.0,-1.1680174
98,1157.3467,536.0,-1.1592289
101,1160.9053,545.0,-1.1301014
21,1160.3804,547.0,-1.1213535
87,1165.4999,548.0,-1.1268246
27,1162.1073,549.0,-1.116771
94,1161.3503,553.0,-1.100091
173,1161.6177,578.0,-1.0097191
158,1161.9365,582.0,-0.99645454
92,1164.5587,593.0,-0.9638427
72,1160.6992,603.0,-0.9248743
79,1158.2305,605.0,-0.9144305
44,1164.2612,610.0,-0.90862495
140,1163.1041,615.0,-0.89122623
81,1172.54,630.0,-0.86117464
114,1165.3728,635.0,-0.83523273
38,1165.141,637.0,-0.82910675
109,1163.991,642.0,-0.81307006
165,1163.9462,659.0,-0.7662309
36,1164.4452,660.0,-0.7643109
74,1164.6793,660.0,-0.76466566
8,1164.1183,666.0,-0.74792534
159,1167.8416,669.0,-0.74565256
11,1161.2269,671.0,-0.73059154
78,1169.7173,679.0,-0.72270584
105,1165.4443,689.0,-0.6915012
113,1167.5781,693.0,-0.6848169
28,1172.8635,695.0,-0.68757343
145,1168.5635,698.0,-0.6741597
77,1168.6346,702.0,-0.6647217
89,1165.476,713.0,-0.6346086
6,1176.3008,713.0,-0.6497907
111,1164.0837,746.0,-0.560434
4,1179.8175,755.0,-0.5626722
52,1171.6388,757.0,-0.5477395
46,1165.7534,758.0,-0.5379333
108,1170.9661,758.0,-0.5448101
143,1164.3704,763.0,-0.5260424
91,1169.7533,766.0,-0.52709305
48,1167.7625,768.0,-0.520524
155,1171.6616,783.0,-0.496375
31,1168.2217,786.0,-0.48628712
76,1170.4401,791.0,-0.47969666
130,1170.5277,821.0,-0.4257341
106,1173.2485,840.0,-0.39672443
20,1170.2263,840.0,-0.39312658
120,1174.8351,864.0,-0.35976282
153,1178.7695,870.0,-0.3549075
146,1174.0361,885.0,-0.3265945
93,1184.4595,886.0,-0.3368617
0,1172.5446,900.0,-0.3028273
45,1189.0796,910.0,-0.30668086
125,1177.5579,912.0,-0.29118186
39,1175.2177,913.0,-0.28720444
64,1173.3716,921.0,-0.2740191
166,1174.2389,936.0,-0.25452873
117,1182.3265,970.0,-0.21889333
43,1181.5502,989.0,-0.19469178
54,1171.4994,990.0,-0.18333271
26,1177.8324,994.0,-0.18494205
18,1178.4503,1005.0,-0.17258738
116,1184.0457,1009.0,-0.1734843
169,1193.1665,1015.0,-0.1755335
178,1170.9797,1032.0,-0.13467029
134,1179.2897,1054.0,-0.11887066
110,1180.3245,1056.0,-0.1177315
59,1190.5125,1057.0,-0.12631263
50,1190.0077,1072.0,-0.1100818
5,1176.3884,1073.0,-0.096354544
132,1177.5015,1077.0,-0.09331612
126,1176.9089,1084.0,-0.08570935
168,1178.0625,1108.0,-0.0632333
174,1182.7703,1113.0,-0.06268667
14,1175.0815,1115.0,-0.053884793
131,1177.5548,1121.0,-0.05045032
69,1178.6973,1141.0,-0.033038795
152,1189.8123,1148.0,-0.036421824
53,1195.9658,1160.0,-0.031005017
55,1184.5161,1167.0,-0.015009523
149,1179.0608,1192.0,0.010855041
2,1176.2853,1233.0,0.04599734
63,1192.9879,1267.0,0.05841522
49,1187.1511,1300.0,0.08680683
137,1176.6134,1309.0,0.10113567
157,1184.0447,1315.0,0.099585794
42,1180.825,1349.0,0.12466645
66,1197.1663,1387.0,0.13686644
119,1189.2225,1402.0,0.15176709
32,1200.8175,1403.0,0.14410727
9,1189.5001,1409.0,0.15578416
95,1197.8604,1428.0,0.16116221
10,1190.2965,1436.0,0.1711027
164,1187.518,1453.0,0.18271305
1,1195.2565,1496.0,0.20103177
123,1192.6748,1516.0,0.2132752
17,1206.2959,1526.0,0.20950465
150,1212.618,1554.0,0.2196795
133,1201.3438,1562.0,0.23089388
163,1190.5739,1564.0,0.23876353
70,1198.7006,1567.0,0.23503473
88,1204.9695,1570.0,0.23250352
141,1203.2239,1675.0,0.2816574
83,1202.6902,1694.0,0.2900294
84,1213.8423,1695.0,0.28386885
172,1215.6078,1735.0,0.2993615
135,1204.238,1741.0,0.3083067
29,1211.8206,1776.0,0.31766862
171,1213.0748,1802.0,0.3268175
107,1202.846,1826.0,0.3412673
33,1204.0681,1836.0,0.34418947
136,1230.8247,1985.0,0.37993717
148,1222.6914,1993.0,0.38650706
68,1228.1729,2051.0,0.4011834
97,1224.992,2088.0,0.41331804
154,1218.6138,2109.0,0.42218408
138,1217.098,2160.0,0.43652868
