,output,target,rel_error
22,136.97919,71.0,-0.92928433
80,156.58691,80.0,-0.9573364
86,120.11763,87.0,-0.3806624
62,147.30658,91.0,-0.6187536
127,131.58932,92.0,-0.43031874
40,136.97797,104.0,-0.31709582
122,199.56464,143.0,-0.3955569
104,199.63365,154.0,-0.2963224
34,181.87703,155.0,-0.1734002
167,172.72305,156.0,-0.10719906
129,190.8869,163.0,-0.17108528
82,191.32858,178.0,-0.074879676
151,191.84431,192.0,0.0008108616
57,195.5996,202.0,0.031685177
3,239.81377,205.0,-0.16982324
156,182.82867,215.0,0.14963408
175,290.34454,221.0,-0.31377622
60,295.62262,231.0,-0.2797516
177,225.57603,236.0,0.044169344
13,249.83492,255.0,0.020255234
121,262.23145,274.0,0.04295093
112,313.763,289.0,-0.08568513
16,289.9848,297.0,0.023620194
161,399.6385,298.0,-0.34106874
35,297.75647,301.0,0.010775848
30,299.66437,301.0,0.0044373167
12,294.38046,304.0,0.031643216
128,228.6148,316.0,0.27653542
102,393.89917,318.0,-0.23867664
71,350.05936,329.0,-0.0640102
124,306.1531,342.0,0.104815476
144,222.47646,344.0,0.35326612
75,382.66223,344.0,-0.112390205
23,446.45108,346.0,-0.29032105
24,408.17523,346.0,-0.1796972
115,395.49887,352.0,-0.123576336
99,394.8519,363.0,-0.08774628
7,395.3464,363.0,-0.08910856
56,419.5334,365.0,-0.14940654
25,325.19058,369.0,0.11872471
85,485.0567,371.0,-0.30743048
96,363.48294,381.0,0.045976534
61,518.5751,403.0,-0.2867868
51,391.5639,445.0,0.12008111
65,468.7965,451.0,-0.039460108
118,519.3589,457.0,-0.1364527
15,509.34546,465.0,-0.095366575
147,594.98694,473.0,-0.2579005
19,459.85022,479.0,0.039978664
67,571.0674,489.0,-0.16782697
139,510.9035,491.0,-0.04053667
58,480.5099,491.0,0.021364791
47,490.36835,493.0,0.0053380383
41,487.3519,505.0,0.034946736
73,521.91864,519.0,-0.005623584
162,594.4937,531.0,-0.11957385
160,499.5233,535.0,0.06631162
98,441.66516,536.0,0.17599784
101,582.46484,545.0,-0.068742834
21,565.51306,547.0,-0.03384472
87,547.41254,548.0,0.0010720135
27,533.2082,549.0,0.02876468
94,506.4387,553.0,0.08419767
173,587.4112,578.0,-0.016282342
158,610.37036,582.0,-0.048746325
92,673.18744,593.0,-0.13522334
72,519.42456,603.0,0.1385994
79,484.2,605.0,0.1996694
44,713.4945,610.0,-0.16966313
140,600.8147,615.0,0.023065533
81,741.40106,630.0,-0.17682709
114,683.55365,635.0,-0.07646244
38,623.548,637.0,0.02111778
109,613.0596,642.0,0.04507855
165,632.23914,659.0,0.04060829
36,622.20874,660.0,0.057259485
74,638.9058,660.0,0.031960875
8,701.0365,666.0,-0.052607358
159,695.22864,669.0,-0.039205737
11,515.66266,671.0,0.23150125
78,711.4962,679.0,-0.047858935
105,759.53015,689.0,-0.10236597
113,725.1169,693.0,-0.04634471
28,657.147,695.0,0.054464787
145,774.2222,698.0,-0.1092009
77,846.83154,702.0,-0.20631275
89,753.541,713.0,-0.05685977
