,output,target,rel_error
87,0.98936665,1.0,0.010633349
142,0.9894551,1.0,0.010544896
84,0.98972356,1.0,0.010276437
40,0.9892765,1.0,0.010723472
159,0.9894439,1.0,0.010556102
143,0.9892866,1.0,0.010713398
76,0.9894004,1.0,0.010599613
61,0.989157,1.0,0.010842979
14,0.9894114,1.0,0.010588586
51,0.9888159,1.0,0.011184096
165,0.9889548,1.0,0.0110452175
121,0.98926604,1.0,0.010733962
170,0.9891076,1.0,0.010892391
31,0.98937774,2.0,0.50531113
34,0.9894428,2.0,0.5052786
4,0.98941046,2.0,0.5052948
131,0.9894027,2.0,0.5052986
55,0.9892528,2.0,0.5053736
134,0.98928726,2.0,0.5053564
16,0.9894299,2.0,0.505285
15,0.9895676,2.0,0.50521624
122,0.9894842,2.0,0.5052579
13,0.9892974,2.0,0.5053513
114,0.9893523,2.0,0.5053239
17,0.9895138,2.0,0.50524306
71,0.98950064,3.0,0.6701665
37,0.98901236,3.0,0.6703293
152,0.9890862,3.0,0.6703046
32,0.98973215,3.0,0.67008924
10,0.9895455,3.0,0.6701515
25,0.9892478,3.0,0.6702507
27,0.9892113,3.0,0.6702629
130,0.9895386,3.0,0.6701538
163,0.9892532,3.0,0.6702489
75,0.98927224,3.0,0.6702426
6,0.9897554,3.0,0.67008156
82,0.989303,4.0,0.7526742
111,0.98923445,4.0,0.7526914
53,0.9892365,4.0,0.7526909
173,0.9896124,4.0,0.7525969
162,0.9890634,4.0,0.7527342
148,0.98932743,4.0,0.75266814
56,0.9893792,4.0,0.7526552
158,0.9889456,4.0,0.7527636
127,0.98930085,4.0,0.7526748
24,0.98891276,4.0,0.7527718
50,0.98938173,4.0,0.75265455
66,0.98909163,4.0,0.7527271
115,0.9896959,4.0,0.752576
54,0.98968726,5.0,0.8020625
73,0.989098,5.0,0.8021804
74,0.9887537,5.0,0.80224925
33,0.98915184,5.0,0.8021696
138,0.9888803,5.0,0.802224
136,0.98927176,5.0,0.80214566
92,0.9892168,5.0,0.8021566
160,0.98917687,5.0,0.8021647
101,0.98938155,5.0,0.80212367
102,0.98909783,5.0,0.80218047
3,0.98876333,5.0,0.80224735
46,0.98901397,5.0,0.80219716
146,0.9895212,5.0,0.8020958
135,0.9897256,6.0,0.83504575
93,0.9889369,6.0,0.8351772
133,0.98944455,6.0,0.83509254
99,0.98996264,6.0,0.83500624
105,0.98926675,6.0,0.83512217
123,0.9893185,6.0,0.8351136
151,0.9891555,6.0,0.83514076
67,0.98882854,6.0,0.83519524
23,0.9890107,6.0,0.83516484
43,0.98907816,6.0,0.83515364
1,0.98953795,7.0,0.8586374
103,0.9889951,7.0,0.858715
22,0.9895543,7.0,0.85863507
128,0.9895947,7.0,0.85862935
161,0.989371,7.0,0.8586613
155,0.98892325,7.0,0.85872525
137,0.9894765,7.0,0.8586462
117,0.9889279,7.0,0.8587246
49,0.9892826,7.0,0.85867393
129,0.9891032,8.0,0.8763621
68,0.9891224,8.0,0.8763597
59,0.9893704,8.0,0.8763287
57,0.98951674,8.0,0.8763104
141,0.9894837,9.0,0.8900573
72,0.9888594,9.0,0.89012676
26,0.9892432,9.0,0.890084
21,0.9893092,9.0,0.89007676
20,0.98921514,9.0,0.89008725
113,0.9892475,9.0,0.8900836
70,0.98934,9.0,0.89007336
48,0.9890983,9.0,0.8901002
19,0.9895896,10.0,0.90104103
29,0.98925185,10.0,0.90107477
150,0.9891132,10.0,0.9010887
126,0.9892443,10.0,0.90107554
81,0.9890903,10.0,0.901091
168,0.9893693,10.0,0.9010631
110,0.98954606,11.0,0.9100413
172,0.9891655,11.0,0.9100759
120,0.98904705,11.0,0.91008663
11,0.9892343,11.0,0.91006964
157,0.98954964,11.0,0.9100409
147,0.9897876,11.0,0.9100193
45,0.9892172,11.0,0.9100712
41,0.9892244,12.0,0.91756463
145,0.9889272,12.0,0.9175894
83,0.9894646,12.0,0.9175446
65,0.9892383,12.0,0.91756344
30,0.98887575,13.0,0.9239327
107,0.9891512,13.0,0.92391145
154,0.989058,13.0,0.92391866
62,0.9893736,13.0,0.92389435
171,0.9892724,14.0,0.9293377
86,0.98958147,14.0,0.9293156
153,0.9896922,15.0,0.93402046
174,0.9891325,15.0,0.93405783
94,0.9896966,15.0,0.9340202
109,0.9890412,15.0,0.9340639
104,0.989272,15.0,0.93404853
119,0.9892899,16.0,0.93816936
80,0.9890782,16.0,0.9381826
58,0.98931694,16.0,0.9381677
35,0.989388,17.0,0.9418007
78,0.98948646,17.0,0.9417949
39,0.9890783,17.0,0.9418189
169,0.9894048,17.0,0.9417997
38,0.9897207,17.0,0.9417811
47,0.9893615,17.0,0.9418023
140,0.9895251,18.0,0.9450264
63,0.98952836,18.0,0.94502616
96,0.9896741,18.0,0.9450181
166,0.98953557,19.0,0.94791913
52,0.9894856,19.0,0.9479219
112,0.989603,20.0,0.95051986
91,0.9895224,20.0,0.95052385
12,0.9894637,20.0,0.95052683
77,0.98915994,22.0,0.95503813
164,0.9894379,22.0,0.9550256
106,0.9890553,23.0,0.9569976
8,0.9892127,23.0,0.9569908
125,0.9892038,23.0,0.95699114
95,0.98937,25.0,0.9604252
60,0.9892402,27.0,0.96336144
44,0.9896054,29.0,0.9658757
7,0.98921144,29.0,0.9658892
28,0.9893937,32.0,0.96908146
36,0.9893664,33.0,0.9700193
42,0.9890763,35.0,0.9717407
18,0.9889716,36.0,0.9725286
100,0.98927,36.0,0.9725203
89,0.9891267,36.0,0.9725242
167,0.9892751,37.0,0.9732628
116,0.9893413,39.0,0.97463226
98,0.9892436,40.0,0.97526896
0,0.9890311,43.0,0.9769992
5,0.98912454,44.0,0.9775199
9,0.98908997,44.0,0.9775207
69,0.9891528,44.0,0.9775193
124,0.9892579,45.0,0.9780165
139,0.9893751,48.0,0.979388
85,0.9893414,51.0,0.98060113
64,0.98922884,52.0,0.9809764
97,0.9891191,54.0,0.98168296
118,0.9892375,56.0,0.98233503
79,0.9894757,71.0,0.98606366
149,0.98953664,84.0,0.98821974
2,0.98944336,84.0,0.98822093
90,0.98971975,91.0,0.98912394
108,0.9899463,99.0,0.99000055
