,output,target,rel_error
87,92.94808,1.0,-91.94808
142,92.77734,1.0,-91.77734
84,92.85478,1.0,-91.85478
40,93.272125,1.0,-92.272125
159,92.506775,1.0,-91.506775
143,92.41628,1.0,-91.41628
76,92.44159,1.0,-91.44159
61,92.43991,1.0,-91.43991
14,92.53367,1.0,-91.53367
51,92.73309,1.0,-91.73309
165,92.52965,1.0,-91.52965
121,92.7123,1.0,-91.7123
170,92.39722,1.0,-91.39722
31,92.87781,2.0,-45.438904
34,93.20145,2.0,-45.600723
4,92.69578,2.0,-45.34789
131,93.141754,2.0,-45.570877
55,93.06676,2.0,-45.53338
134,92.72006,2.0,-45.36003
16,92.62017,2.0,-45.310085
15,93.01398,2.0,-45.50699
122,92.965225,2.0,-45.482613
13,92.84263,2.0,-45.421314
114,93.07657,2.0,-45.538284
17,92.94013,2.0,-45.470066
71,93.08672,3.0,-30.028908
37,92.91672,3.0,-29.972239
152,93.04873,3.0,-30.016243
32,93.47728,3.0,-30.159094
10,92.7547,3.0,-29.918234
25,93.06883,3.0,-30.022943
27,93.15192,3.0,-30.050638
130,93.240654,3.0,-30.080217
163,92.97426,3.0,-29.991419
75,92.99837,3.0,-29.999456
6,93.10592,3.0,-30.035307
82,93.20073,4.0,-22.300182
111,94.23512,4.0,-22.55878
53,93.019394,4.0,-22.254848
173,93.266914,4.0,-22.316729
162,93.533844,4.0,-22.383461
148,94.069336,4.0,-22.517334
56,94.05994,4.0,-22.514984
158,93.02068,4.0,-22.25517
127,93.754684,4.0,-22.438671
24,93.06269,4.0,-22.265673
50,93.880005,4.0,-22.470001
66,93.14686,4.0,-22.286715
115,93.664085,4.0,-22.416021
54,93.65632,5.0,-17.731264
73,93.27522,5.0,-17.655045
74,93.433395,5.0,-17.68668
33,93.70444,5.0,-17.740887
138,94.06337,5.0,-17.812674
136,95.16906,5.0,-18.033812
92,93.38272,5.0,-17.676544
160,93.40851,5.0,-17.681702
101,93.320915,5.0,-17.664183
102,93.89996,5.0,-17.779993
3,93.51993,5.0,-17.703985
46,93.23421,5.0,-17.646841
146,93.1642,5.0,-17.63284
135,94.054825,6.0,-14.675804
93,94.135086,6.0,-14.689181
133,94.95776,6.0,-14.826294
99,93.496445,6.0,-14.582741
105,93.987015,6.0,-14.664502
123,94.3783,6.0,-14.729717
151,94.433304,6.0,-14.738884
67,93.82504,6.0,-14.637507
23,94.11957,6.0,-14.686595
43,93.75279,6.0,-14.625465
1,93.99167,7.0,-12.4273815
103,95.54585,7.0,-12.649407
22,94.18301,7.0,-12.454715
128,95.346016,7.0,-12.620859
161,94.82801,7.0,-12.546859
155,94.15969,7.0,-12.451385
137,94.56929,7.0,-12.509898
117,94.3421,7.0,-12.477443
49,94.78772,7.0,-12.541102
129,94.65463,8.0,-10.831829
68,94.54152,8.0,-10.81769
59,94.118744,8.0,-10.764843
57,93.841034,8.0,-10.730129
141,94.67406,9.0,-9.51934
72,96.130684,9.0,-9.681187
26,95.97945,9.0,-9.664383
21,94.70101,9.0,-9.522335
20,95.12316,9.0,-9.569241
113,94.8162,9.0,-9.535133
70,96.749756,9.0,-9.749973
