,output,target,rel_error
22,124.691956,71.0,-0.75622475
80,138.42302,80.0,-0.73028773
86,122.800476,87.0,-0.41149974
62,138.39812,91.0,-0.5208584
127,133.32896,92.0,-0.44922787
40,142.01587,104.0,-0.3655372
122,186.59866,143.0,-0.30488575
104,194.65738,154.0,-0.26400897
34,185.30603,155.0,-0.19552277
167,182.59831,156.0,-0.170502
129,186.08379,163.0,-0.14161833
82,203.10855,178.0,-0.14105928
151,211.6321,192.0,-0.102250494
57,218.74934,202.0,-0.08291754
3,241.50755,205.0,-0.17808563
156,220.14008,215.0,-0.023907328
175,268.41623,221.0,-0.21455307
60,278.80234,231.0,-0.20693652
177,246.61957,236.0,-0.04499817
13,266.09033,255.0,-0.043491498
121,282.06134,274.0,-0.02942095
112,310.2193,289.0,-0.073423184
16,312.81522,297.0,-0.053249884
161,358.32712,298.0,-0.20244
35,315.94818,301.0,-0.049661733
30,317.94354,301.0,-0.05629084
12,313.0503,304.0,-0.0297707
128,282.20688,316.0,0.106940255
102,362.16898,318.0,-0.13889615
71,344.54462,329.0,-0.047248077
124,342.963,342.0,-0.0028158266
144,301.33112,344.0,0.12403745
75,382.53183,344.0,-0.112011135
23,403.43698,346.0,-0.16600284
24,387.04495,346.0,-0.11862703
115,387.28445,352.0,-0.100239925
99,405.263,363.0,-0.116427
7,376.68036,363.0,-0.03768694
56,398.59244,365.0,-0.09203408
25,356.54626,369.0,0.03374996
85,425.49173,371.0,-0.14687797
96,387.43243,381.0,-0.016883029
61,453.04373,403.0,-0.12417799
51,458.41638,445.0,-0.030149173
65,471.2046,451.0,-0.044799533
118,490.57465,457.0,-0.07346749
15,488.5086,465.0,-0.050556142
147,526.5784,473.0,-0.113273636
19,492.5796,479.0,-0.028349875
67,527.9144,489.0,-0.07957961
139,515.0963,491.0,-0.049075995
58,509.51373,491.0,-0.037706178
47,516.31665,493.0,-0.047295436
41,507.28836,505.0,-0.0045314073
73,524.3836,519.0,-0.010373036
162,578.5287,531.0,-0.089507885
160,544.38947,535.0,-0.017550403
98,529.762,536.0,0.0116380155
101,569.38586,545.0,-0.044744704
21,561.8811,547.0,-0.027204942
87,532.256,548.0,0.02872996
27,548.54803,549.0,0.00082325196
94,533.0352,553.0,0.036102682
173,591.3389,578.0,-0.02307773
158,601.3072,582.0,-0.033173867
92,631.0166,593.0,-0.06410894
72,576.6631,603.0,0.043676473
79,585.1266,605.0,0.032848615
44,662.5139,610.0,-0.08608839
