,output,target,rel_error
172,124.95331,91.0,-0.37311327
116,115.87538,97.0,-0.19459157
26,122.486755,104.0,-0.17775726
52,132.13214,114.0,-0.15905386
99,143.90012,135.0,-0.06592678
112,150.91046,144.0,-0.047989316
85,189.41144,161.0,-0.17646857
46,215.92035,172.0,-0.25535086
21,186.24683,174.0,-0.070384055
177,207.21817,193.0,-0.07366928
130,230.23633,205.0,-0.12310404
6,243.50056,210.0,-0.1595265
173,246.49173,219.0,-0.12553301
129,263.16467,242.0,-0.08745733
57,241.9928,257.0,0.058393784
0,270.41718,279.0,0.030762812
81,321.50064,284.0,-0.13204451
171,301.97034,288.0,-0.048508115
40,320.99698,293.0,-0.09555283
118,352.25345,318.0,-0.10771525
102,329.86267,326.0,-0.0118486835
80,293.16052,329.0,0.10893458
3,357.84348,365.0,0.019606916
2,392.5065,379.0,-0.035637204
61,419.85236,387.0,-0.08488981
157,428.58005,395.0,-0.08501278
149,390.9073,399.0,0.020282486
76,378.763,402.0,0.05780348
135,399.49496,406.0,0.016022254
51,429.25388,439.0,0.022200739
145,458.57147,441.0,-0.03984461
68,471.10052,479.0,0.016491598
117,488.84805,484.0,-0.010016639
101,516.7865,493.0,-0.048248477
84,529.72345,500.0,-0.0594469
115,436.47888,503.0,0.13224874
146,533.1533,504.0,-0.05784389
100,466.25824,505.0,0.076716356
54,491.0124,505.0,0.027698237
132,518.10724,507.0,-0.02190777
28,510.39343,519.0,0.01658298
64,563.45715,522.0,-0.07941984
42,510.86954,535.0,0.04510367
86,522.62366,535.0,0.02313335
153,556.6763,537.0,-0.0366411
32,596.2301,540.0,-0.10412982
96,581.3773,550.0,-0.057049673
62,527.92645,555.0,0.048781168
90,576.85956,562.0,-0.026440496
138,547.5257,562.0,0.02575499
121,570.2076,570.0,-0.00036417643
35,586.8584,582.0,-0.008347764
1,605.471,591.0,-0.02448563
160,563.93384,603.0,0.06478634
150,583.6096,609.0,0.04169192
75,653.4509,609.0,-0.07299003
66,644.92847,615.0,-0.048664175
113,614.53796,616.0,0.0023734353
31,622.2466,620.0,-0.0036235193
104,616.88275,632.0,0.023919698
175,640.6537,635.0,-0.008903443
163,542.7182,643.0,0.15595925
92,633.296,660.0,0.040460575
97,652.0492,673.0,0.031130468
48,668.1897,675.0,0.010089338
137,628.41174,679.0,0.07450406
94,671.43445,683.0,0.016933458
16,666.59985,695.0,0.04086352
70,711.8906,698.0,-0.019900609
131,663.14514,702.0,0.055348802
58,744.54736,703.0,-0.05910009
155,659.51495,706.0,0.065842845
69,679.1028,719.0,0.05548987
127,752.96063,741.0,-0.016141204
10,750.7886,757.0,0.008205318
65,815.29126,757.0,-0.07700299
87,720.9243,761.0,0.05266187
41,693.0391,763.0,0.091691844
83,762.7489,766.0,0.004244254
7,757.6333,768.0,0.013498306
128,825.88776,771.0,-0.07119034
124,786.25946,772.0,-0.018470803
114,813.8522,799.0,-0.018588452
166,829.0651,803.0,-0.03245968
77,809.84106,815.0,0.006329982
161,807.41583,815.0,0.009305727
82,843.77014,821.0,-0.027734643
8,828.98444,821.0,-0.009725257
36,799.00525,836.0,0.044252094
169,878.52704,840.0,-0.04586552
179,810.78015,840.0,0.034785535
