,output,target,rel_error
67,114.751495,65.0,-0.7654076
116,137.49399,67.0,-1.052149
143,145.46675,80.0,-0.8183344
169,149.24509,91.0,-0.6400559
126,146.63968,95.0,-0.5435756
74,154.44551,114.0,-0.35478517
68,176.3943,126.0,-0.39995477
41,205.00488,132.0,-0.55306727
65,139.56955,137.0,-0.018755836
69,184.05849,155.0,-0.18747412
17,186.84451,156.0,-0.19772124
7,194.19203,163.0,-0.19136216
23,235.57071,172.0,-0.36959714
0,195.55588,177.0,-0.104835466
76,192.34193,180.0,-0.0685663
88,243.17584,185.0,-0.314464
172,271.34488,203.0,-0.33667427
82,256.29028,213.0,-0.20324077
166,213.17146,213.0,-0.00080499065
150,225.3194,235.0,0.041194055
10,280.7727,274.0,-0.0247179
99,334.94995,284.0,-0.17940123
73,316.2978,297.0,-0.06497572
45,331.62277,300.0,-0.10540924
159,321.7476,301.0,-0.06892887
19,259.89886,316.0,0.17753524
122,339.6942,329.0,-0.03250521
70,357.66205,353.0,-0.0132069355
179,382.364,355.0,-0.077081725
81,414.24487,357.0,-0.16034979
50,393.78754,362.0,-0.087810874
71,359.68243,363.0,0.0091393
78,340.2221,369.0,0.07798887
20,385.17484,372.0,-0.035416223
9,402.56372,383.0,-0.051080212
163,387.09973,407.0,0.04889501
178,411.69565,410.0,-0.0041357274
139,407.37122,434.0,0.061356645
59,467.31918,445.0,-0.05015547
96,442.51538,446.0,0.007813048
115,422.32626,453.0,0.06771244
161,439.30084,454.0,0.032377
24,503.0065,462.0,-0.088758655
104,509.1325,475.0,-0.07185791
156,479.34216,487.0,0.015724512
174,517.4724,491.0,-0.0539153
128,494.80615,491.0,-0.007751838
18,540.68787,493.0,-0.09672995
39,530.9124,493.0,-0.07690145
113,549.72046,499.0,-0.1016442
164,533.9335,507.0,-0.053123217
40,523.5667,507.0,-0.03267596
154,569.32697,516.0,-0.10334683
176,582.51953,522.0,-0.1159378
15,537.1725,549.0,0.021543743
46,519.76776,553.0,0.060094465
75,583.2937,567.0,-0.028736686
55,567.69507,570.0,0.0040437398
48,600.5101,572.0,-0.049842782
35,604.1621,592.0,-0.020544104
171,594.2959,602.0,0.012797511
64,614.3549,609.0,-0.008792971
105,673.4282,609.0,-0.10579347
8,679.7421,610.0,-0.11433136
58,628.22705,614.0,-0.023171093
112,603.322,615.0,0.018988583
2,647.36584,634.0,-0.021081774
155,653.80676,638.0,-0.02477549
97,703.03174,639.0,-0.10020617
117,593.9147,642.0,0.07489926
147,612.0313,660.0,0.07267983
3,667.9144,675.0,0.010497143
120,642.85376,679.0,0.05323452
61,652.2777,689.0,0.05329795
31,734.2009,689.0,-0.065603666
100,735.3489,692.0,-0.06264289
16,786.0687,702.0,-0.11975602
49,655.21674,702.0,0.06664283
62,619.3678,730.0,0.15155096
144,761.9111,735.0,-0.036613703
33,650.4242,748.0,0.13044894
168,755.7722,757.0,0.0016219065
103,707.52325,768.0,0.07874576
6,680.33984,775.0,0.122142136
141,823.8795,775.0,-0.06307034
151,782.30945,786.0,0.0046953587
121,813.133,799.0,-0.017688354
101,797.26404,812.0,0.018147737
157,802.388,827.0,0.02976058
36,799.03,836.0,0.04422245
125,888.3845,856.0,-0.037832383
93,876.7162,858.0,-0.021813737
77,828.54846,867.0,0.044350103
22,843.9999,869.0,0.02876884
136,927.4398,874.0,-0.061143957
170,901.4842,886.0,-0.017476514
133,912.88403,888.0,-0.02802256
90,907.52234,891.0,-0.01854359
162,903.91,899.0,-0.005461594
123,888.4662,913.0,0.026871646
51,1003.92694,958.0,-0.04794044
138,995.51697,958.0,-0.03916176
56,972.7737,962.0,-0.011199254
27,1004.6041,971.0,-0.03460775
85,949.3734,978.0,0.029270539
119,1049.352,980.0,-0.070767395
165,1026.7832,990.0,-0.03715475
94,941.43054,998.0,0.056682825
60,1033.1326,1002.0,-0.031070428
173,997.35406,1008.0,0.010561444
109,988.21204,1027.0,0.037768222
34,975.1024,1032.0,0.055133317
37,1043.677,1077.0,0.030940574
52,1074.848,1079.0,0.0038479867
44,1107.9274,1083.0,-0.023016961
142,1018.001,1084.0,0.060884707
134,1128.7021,1093.0,-0.032664362
130,1096.193,1138.0,0.036737263
167,1029.0293,1141.0,0.09813383
83,1150.3542,1148.0,-0.0020507388
30,1164.1128,1178.0,0.0117888
111,1138.4617,1218.0,0.06530241
160,1264.3455,1243.0,-0.017172534
102,1248.323,1247.0,-0.0010609447
1,1249.0337,1249.0,-2.6974705e-05
92,1288.9683,1289.0,2.4622406e-05
57,1177.087,1309.0,0.10077385
137,1378.4509,1327.0,-0.038772363
107,1348.6724,1332.0,-0.012516789
149,1377.5363,1382.0,0.0032299168
132,1314.8395,1387.0,0.05202633
4,1434.5278,1421.0,-0.009519938
145,1497.6472,1457.0,-0.027897883
148,1485.9814,1482.0,-0.0026865352
129,1485.0463,1507.0,0.01456784
153,1490.3325,1540.0,0.03225161
89,1585.5925,1547.0,-0.02494669
5,1538.5024,1548.0,0.006135374
98,1572.2556,1587.0,0.009290728
72,1532.5952,1593.0,0.037918884
47,1582.8804,1597.0,0.008841346
131,1655.3562,1639.0,-0.009979378
118,1666.3997,1641.0,-0.015478158
108,1607.2266,1672.0,0.038740095
11,1740.5372,1678.0,-0.03726891
127,1768.6155,1707.0,-0.03609577
32,1724.0901,1720.0,-0.002377958
175,1745.8423,1731.0,-0.008574399
25,1801.0029,1741.0,-0.034464635
114,1768.8441,1763.0,-0.0033148702
110,1713.6627,1776.0,0.03509982
152,1896.4735,1857.0,-0.021256603
42,1752.66,1857.0,0.05618738
95,1914.4009,1873.0,-0.022104047
29,1875.4387,1912.0,0.019122008
28,1892.8372,1942.0,0.025315572
53,2009.2839,1985.0,-0.012233721
146,2038.6449,2000.0,-0.01932245
38,2051.9443,2015.0,-0.018334659
66,1982.0818,2071.0,0.042934917
14,2033.2001,2088.0,0.026245175
91,2078.586,2095.0,0.007834875
21,2063.898,2102.0,0.01812657
79,2153.473,2150.0,-0.0016153025
158,2145.3145,2159.0,0.006338836
87,2180.9268,2195.0,0.0064115
124,2215.4568,2196.0,-0.008860104
54,2163.2139,2250.0,0.038571615
43,2257.302,2266.0,0.0038384811
80,2261.337,2272.0,0.0046932595
12,2343.1997,2383.0,0.01670176
26,2391.8953,2402.0,0.0042068013
63,2426.0571,2423.0,-0.0012617123
135,2463.0598,2452.0,-0.004510528
84,2430.5425,2456.0,0.01036544
106,2452.909,2463.0,0.004097062
13,2535.3423,2500.0,-0.014136914
86,2879.1836,2858.0,-0.007412034
177,3074.63,3046.0,-0.009399174
140,3398.1812,3358.0,-0.011965799
