,output,target,rel_error
168,128.6319,104.0,-0.23684517
209,137.23248,109.0,-0.2590136
201,137.18155,114.0,-0.20334692
85,123.11755,116.0,-0.06135822
14,157.46735,126.0,-0.24974084
23,150.01462,135.0,-0.11121939
7,127.624016,137.0,0.068437845
68,147.05585,138.0,-0.065622084
185,190.90666,144.0,-0.3257407
76,173.83714,157.0,-0.10724295
135,192.80104,161.0,-0.19752198
24,179.25818,162.0,-0.10653197
186,171.72993,163.0,-0.05355788
48,179.26967,169.0,-0.06076727
35,185.09656,177.0,-0.045743264
177,187.5677,178.0,-0.05375114
198,175.84149,180.0,0.023102824
205,198.91501,187.0,-0.06371662
132,205.95485,202.0,-0.019578462
142,209.52466,220.0,0.04761519
226,226.57968,229.0,0.010569077
223,245.15567,232.0,-0.056705475
30,220.9143,234.0,0.055921767
191,260.49988,252.0,-0.033729676
229,250.74036,255.0,0.016704485
55,252.73248,266.0,0.049877882
231,296.28943,289.0,-0.025222937
217,297.4571,297.0,-0.0015390313
225,291.56064,301.0,0.031360004
195,319.0699,301.0,-0.06003284
114,292.6145,301.0,0.027858797
241,324.13858,313.0,-0.035586517
146,308.02878,319.0,0.034392547
91,322.1504,320.0,-0.0067199706
36,351.36658,339.0,-0.036479577
204,343.9649,341.0,-0.008694735
66,368.76987,344.0,-0.07200543
161,260.59113,344.0,0.24246766
45,393.76733,346.0,-0.13805588
234,373.55704,362.0,-0.031925518
98,351.44562,365.0,0.037135296
25,383.9303,372.0,-0.032070693
81,351.07538,373.0,0.058779147
158,382.7771,373.0,-0.026212063
235,389.1334,379.0,-0.026737183
84,362.71408,403.0,0.09996506
219,436.69666,403.0,-0.08361453
173,381.6685,407.0,0.062239587
72,427.27698,412.0,-0.037080042
39,337.5239,419.0,0.19445372
224,454.33594,433.0,-0.049274683
203,371.4951,434.0,0.14402054
189,425.72287,445.0,0.043319393
16,428.021,446.0,0.040311668
11,407.3151,448.0,0.09081452
228,423.87476,453.0,0.06429414
233,419.37924,461.0,0.09028364
125,481.22455,462.0,-0.04161158
1,467.13934,465.0,-0.004600738
62,512.01746,466.0,-0.098749906
137,476.98892,470.0,-0.014870047
188,491.3431,475.0,-0.034406547
218,512.8469,486.0,-0.055240583
109,463.7937,488.0,0.04960307
10,450.26352,491.0,0.08296636
105,515.9497,493.0,-0.04655113
5,505.80515,493.0,-0.025973925
94,449.1711,499.0,0.099857494
106,508.46005,500.0,-0.016920105
164,538.3175,516.0,-0.043250978
115,528.5696,533.0,0.008312233
227,521.24994,535.0,0.025701048
236,597.17847,540.0,-0.10588605
190,496.84113,548.0,0.09335561
56,524.3944,553.0,0.051728014
110,531.7012,555.0,0.04197987
42,541.0994,566.0,0.043993946
121,544.3937,566.0,0.038173717
22,523.32904,567.0,0.07702109
17,625.23096,569.0,-0.09882418
202,571.33203,570.0,-0.002336897
104,586.5954,582.0,-0.007895873
130,600.46674,591.0,-0.016018165
148,575.7615,602.0,0.04358559
238,541.8133,603.0,0.10147049
162,596.7975,609.0,0.02003697
73,657.4337,610.0,-0.07776019
82,601.5191,615.0,0.021920156
88,609.8473,620.0,0.016375339
83,595.0113,623.0,0.044925697
4,658.3488,630.0,-0.04499812
70,617.72644,637.0,0.030256765
163,634.5827,638.0,0.005356265
27,637.2115,644.0,0.01054117
63,618.60803,659.0,0.06129282
38,647.67896,661.0,0.020152867
119,639.34015,663.0,0.03568605
136,662.731,679.0,0.023960209
6,668.51514,685.0,0.024065495
141,695.2844,693.0,-0.003296427
43,707.429,695.0,-0.017883476
26,670.8794,702.0,0.044331346
86,729.80145,713.0,-0.02356445
61,725.3051,713.0,-0.017258225
128,729.4265,716.0,-0.018752115
107,736.21765,722.0,-0.019692037
127,774.3053,724.0,-0.06948245
51,729.1323,729.0,-0.0001815147
181,755.42017,735.0,-0.027782539
34,654.7084,748.0,0.12472142
182,691.4905,758.0,0.08774343
240,807.4783,799.0,-0.010611103
33,824.26855,803.0,-0.026486369
149,813.6672,814.0,0.00040887555
118,791.36127,815.0,0.02900458
237,883.8941,837.0,-0.05602641
60,809.9563,840.0,0.03576631
156,872.7754,840.0,-0.03901832
167,820.7117,845.0,0.028743586
213,861.5637,858.0,-0.004153521
134,893.73126,868.0,-0.02964431
92,837.3728,869.0,0.036394935
178,914.16895,880.0,-0.038828347
196,859.9912,882.0,0.024953276
64,886.3378,885.0,-0.0015116718
19,902.3668,886.0,-0.01847271
0,906.34045,888.0,-0.020653665
140,903.9473,895.0,-0.009997013
29,922.5089,901.0,-0.023872266
172,929.12665,901.0,-0.031217145
99,838.4586,906.0,0.07454899
232,888.1939,910.0,0.023962738
