,output,target,rel_error
30,143.20026,65.0,-1.2030809
161,174.80814,92.0,-0.9000884
80,188.50482,102.0,-0.8480865
18,176.14925,116.0,-0.518528
5,182.8612,137.0,-0.33475333
0,216.4606,145.0,-0.49283174
103,206.60759,162.0,-0.2753555
2,274.41928,172.0,-0.59546095
130,195.5322,178.0,-0.09849548
99,221.22913,194.0,-0.14035632
81,279.46838,205.0,-0.36326042
51,195.33115,213.0,0.082952365
77,265.4101,220.0,-0.20640953
168,328.19043,221.0,-0.48502457
160,315.3145,243.0,-0.29759058
40,309.69113,247.0,-0.25381026
54,279.39026,266.0,-0.05033932
26,322.73206,269.0,-0.19974741
150,413.7906,293.0,-0.41225457
143,347.98694,302.0,-0.15227462
171,291.70917,311.0,0.0620284
14,300.86224,316.0,0.047904294
93,383.83344,318.0,-0.20702338
23,330.56152,320.0,-0.03300476
78,359.3978,320.0,-0.12311812
10,330.23056,326.0,-0.012977179
55,371.7727,338.0,-0.099919245
119,451.0809,346.0,-0.30370203
15,469.08575,348.0,-0.34794757
154,387.63214,352.0,-0.10122767
134,359.43466,375.0,0.04150757
91,442.62494,383.0,-0.15567869
89,387.36517,399.0,0.029159967
114,358.1214,410.0,0.12653318
122,380.23328,446.0,0.14745902
95,374.90057,448.0,0.16316836
4,479.40033,451.0,-0.062971905
19,472.02603,462.0,-0.021701368
175,509.36838,481.0,-0.058977917
86,510.11823,484.0,-0.053963274
96,461.89798,487.0,0.05154419
32,413.37128,488.0,0.15292771
24,457.42972,491.0,0.068371244
115,477.3515,505.0,0.054749504
62,459.3864,513.0,0.10450991
71,451.0045,530.0,0.14904813
68,489.91635,535.0,0.0842685
21,645.9822,540.0,-0.1962633
11,551.1632,550.0,-0.0021149237
131,584.87085,567.0,-0.031518254
50,530.42224,578.0,0.08231446
159,627.22,609.0,-0.02991785
125,678.30066,615.0,-0.1029279
142,551.6102,616.0,0.10452885
70,717.67316,630.0,-0.13916375
9,515.87823,650.0,0.20634118
135,589.0924,663.0,0.1114745
94,661.5458,669.0,0.011142338
167,681.00354,674.0,-0.010391009
123,625.9841,675.0,0.07261619
146,605.31683,675.0,0.10323432
43,721.57715,679.0,-0.062705666
164,553.5675,679.0,0.18473122
137,574.2049,698.0,0.17735688
179,624.3801,699.0,0.10675232
145,589.50684,699.0,0.15664259
108,656.6689,731.0,0.10168415
53,648.9583,739.0,0.12184261
41,827.99603,740.0,-0.11891356
170,576.8598,746.0,0.22672948
34,716.7173,749.0,0.043101087
177,806.1286,757.0,-0.06489908
109,666.19055,758.0,0.12112065
