,output,target,rel_error
126,49.007603,36.0,-0.36132228
107,77.29079,78.0,0.009092478
124,92.35116,104.0,0.112008095
150,100.38781,130.0,0.22778608
120,108.382965,138.0,0.2146162
24,150.4429,154.0,0.023098042
79,150.33061,161.0,0.06626949
76,125.40986,162.0,0.22586507
73,148.92021,162.0,0.08073943
78,155.44044,177.0,0.12180539
179,160.17937,213.0,0.24798419
97,192.35121,218.0,0.117654994
6,196.66888,231.0,0.14861955
53,224.91623,242.0,0.070594095
99,223.89272,252.0,0.111536846
21,179.40424,257.0,0.30192906
156,236.12796,274.0,0.13821912
125,240.87126,277.0,0.13042866
141,254.7206,289.0,0.118613854
162,276.6133,297.0,0.06864205
103,274.27225,301.0,0.08879652
63,291.96896,303.0,0.03640606
105,322.38287,320.0,-0.00744648
14,298.50726,320.0,0.0671648
9,276.69406,329.0,0.15898462
158,280.42,329.0,0.14765954
34,285.15842,330.0,0.13588358
121,285.8926,333.0,0.14146364
47,321.74936,338.0,0.04807882
30,313.65094,343.0,0.085565776
61,331.24985,344.0,0.037064396
0,353.4007,362.0,0.023754984
37,370.64008,372.0,0.0036557105
46,348.17508,372.0,0.06404549
178,351.97314,379.0,0.07131097
130,316.35638,381.0,0.16966829
116,366.86676,383.0,0.04212334
5,343.39795,390.0,0.11949244
80,440.8701,403.0,-0.09397044
26,389.6525,420.0,0.07225596
69,369.6692,434.0,0.14822768
95,431.74597,435.0,0.007480525
102,398.1123,448.0,0.11135646
119,428.17902,454.0,0.056874413
83,468.30963,475.0,0.014084986
170,483.2331,488.0,0.009768251
62,531.4853,507.0,-0.04829446
2,479.1036,508.0,0.056882665
110,476.56635,515.0,0.07462846
56,506.8198,531.0,0.04553711
100,508.47742,537.0,0.05311468
91,522.7858,547.0,0.044267226
144,500.36447,549.0,0.0885893
151,574.626,562.0,-0.022466151
166,611.91266,601.0,-0.018157503
108,564.36597,603.0,0.0640697
59,698.90515,614.0,-0.138282
135,563.8203,617.0,0.08619074
94,690.2036,639.0,-0.08013085
148,606.5154,659.0,0.079642825
155,641.3173,663.0,0.032703888
167,650.83624,669.0,0.027150609
77,676.4511,669.0,-0.011137685
104,618.01746,679.0,0.089812286
96,663.6069,679.0,0.022670291
88,673.51013,685.0,0.01677353
113,686.14,686.0,-0.00020410298
25,684.51013,692.0,0.010823509
1,728.0972,692.0,-0.052163627
33,633.0174,695.0,0.089183606
52,727.372,697.0,-0.043575335
143,709.50885,730.0,0.028070068
169,709.98553,758.0,0.06334362
74,730.58673,768.0,0.048715193
60,711.0326,768.0,0.07417631
165,841.7905,799.0,-0.053555105
92,827.8679,814.0,-0.017036757
43,812.9152,815.0,0.0025580097
22,871.125,826.0,-0.05463075
23,833.1619,832.0,-0.001396546
44,813.147,840.0,0.03196789
10,832.9735,840.0,0.008364868
177,819.3922,845.0,0.030305075
66,827.9574,867.0,0.045031838
149,853.8872,882.0,0.031873915
153,900.1013,886.0,-0.015915709
55,926.09344,894.0,-0.035898708
17,939.5046,900.0,-0.043893974
70,951.70435,901.0,-0.056275632
11,1004.8001,918.0,-0.09455349
115,932.40356,921.0,-0.01238172
12,949.533,945.0,-0.004796847
64,1025.2986,971.0,-0.055920273
16,929.5465,975.0,0.046618965
118,1031.7539,981.0,-0.051736906
142,983.4844,998.0,0.014544714
132,1001.5231,1002.0,0.00047597676
174,975.42004,1008.0,0.032321386
171,921.7662,1009.0,0.086455725
82,942.94946,1021.0,0.076445185
85,965.05493,1023.0,0.056642294
40,1029.9022,1025.0,-0.0047826553
67,1030.0117,1027.0,-0.0029325401
38,1089.034,1059.0,-0.028360773
71,1012.8132,1084.0,0.065670505
39,1061.7056,1088.0,0.024167677
176,1115.792,1109.0,-0.0061244294
101,1177.8129,1129.0,-0.04323549
