,output,target,rel_error
37,75.55818,10.0,-6.555818
76,118.02457,97.0,-0.2167481
125,165.18834,144.0,-0.14714125
80,170.55255,145.0,-0.17622449
141,192.44078,161.0,-0.19528435
60,155.2238,162.0,0.04182839
103,214.6958,172.0,-0.2482314
22,182.35545,176.0,-0.03611053
110,178.34842,180.0,0.009175449
78,239.0605,203.0,-0.17763793
86,210.49075,218.0,0.034446087
174,231.84772,236.0,0.017594418
74,230.3598,238.0,0.032101672
177,248.90477,252.0,0.012282659
25,272.2684,255.0,-0.06771922
70,217.94034,257.0,0.15198313
9,285.919,285.0,-0.0032245836
132,301.75595,300.0,-0.0058531696
105,309.43018,301.0,-0.028007228
169,297.2434,301.0,0.012480372
20,296.84702,301.0,0.013797292
162,298.49197,311.0,0.040218733
47,316.51984,316.0,-0.001645052
135,305.01288,319.0,0.043846775
46,303.29086,329.0,0.078143276
172,373.9694,346.0,-0.08083639
120,350.99582,355.0,0.011279383
33,383.37735,357.0,-0.073886134
139,324.8167,360.0,0.09773136
54,346.0109,362.0,0.0441688
118,334.72015,363.0,0.077905916
108,375.66394,365.0,-0.029216275
99,352.4868,365.0,0.034282777
107,351.46512,367.0,0.04232938
49,401.56793,371.0,-0.08239335
173,380.55356,373.0,-0.020250827
73,371.71268,376.0,0.011402455
111,370.4985,381.0,0.02756298
41,397.2039,395.0,-0.005579463
51,396.24536,399.0,0.0069038565
6,390.04605,434.0,0.10127638
159,427.6535,454.0,0.05803193
26,396.08313,461.0,0.14081751
72,447.82623,467.0,0.04105732
129,484.40802,475.0,-0.019806357
176,511.4887,486.0,-0.052445903
56,465.04575,491.0,0.052859988
34,511.6245,499.0,-0.025299624
83,533.969,504.0,-0.05946229
38,469.9047,505.0,0.069495656
66,506.34027,513.0,0.012981928
21,493.51956,515.0,0.041709587
18,499.5442,519.0,0.037487112
12,557.7084,531.0,-0.050298255
145,537.88916,535.0,-0.0054002996
178,506.3411,536.0,0.05533378
117,593.1521,540.0,-0.098429814
102,478.21906,548.0,0.12733749
109,573.4312,550.0,-0.042602208
101,516.95795,553.0,0.0651755
23,516.9128,566.0,0.08672654
115,608.6624,596.0,-0.021245662
88,638.1676,601.0,-0.061842933
106,561.0331,603.0,0.06959688
113,549.8202,603.0,0.08819205
31,634.9646,609.0,-0.04263481
63,683.39954,614.0,-0.11302856
64,550.78186,617.0,0.10732275
95,619.3212,632.0,0.020061348
45,655.7228,634.0,-0.034263056
62,686.93304,639.0,-0.07501259
59,630.4402,660.0,0.044787597
81,646.21985,663.0,0.025309429
96,690.4267,671.0,-0.028951857
50,665.384,673.0,0.011316535
1,679.9666,679.0,-0.0014235843
114,705.5132,679.0,-0.039047398
82,688.9902,685.0,-0.0058250707
140,647.4507,727.0,0.10942134
90,790.3142,731.0,-0.08114119
77,745.0636,759.0,0.01836153
124,767.5496,768.0,0.00058643025
171,811.853,772.0,-0.05162309
92,845.87506,821.0,-0.03029849
89,831.03174,826.0,-0.006091693
30,820.44183,832.0,0.013892027
24,882.7999,840.0,-0.050952293
75,834.494,843.0,0.010090132
156,903.3342,868.0,-0.040707637
160,853.6104,882.0,0.03218774
146,890.36194,899.0,0.009608522
161,936.0683,901.0,-0.03892153
165,819.8895,910.0,0.0990225
91,905.46643,913.0,0.008251445
68,985.31665,918.0,-0.07332969
27,947.50433,955.0,0.007848865
121,959.45795,960.0,0.00056463876
65,1047.9631,970.0,-0.08037437
19,938.1811,976.0,0.038748883
4,951.86633,977.0,0.02572535
14,936.67755,978.0,0.042251993
11,1039.5697,980.0,-0.06078541
7,964.51697,993.0,0.028683819
155,937.89404,995.0,0.05739292
100,995.1161,996.0,0.00088746095
84,1022.9264,997.0,-0.026004406
13,913.97626,1021.0,0.10482247
61,1050.865,1025.0,-0.025234137
123,985.9109,1027.0,0.040008873
53,992.67145,1032.0,0.038109064
