,output,target,rel_error
32,92.45347,36.0,-1.568152
151,108.345,78.0,-0.38903847
163,104.85171,87.0,-0.20519204
106,96.31838,87.0,-0.10710784
35,103.36606,92.0,-0.12354411
143,107.38377,97.0,-0.10704921
9,107.1351,102.0,-0.050344132
168,111.16939,109.0,-0.019902641
28,116.09612,135.0,0.14002872
5,121.236305,138.0,0.12147605
50,153.20691,154.0,0.0051499405
38,124.17549,156.0,0.20400326
131,159.59705,161.0,0.008714001
117,142.62912,163.0,0.12497473
103,207.97697,164.0,-0.2681523
54,134.02798,177.0,0.24277975
62,145.86151,192.0,0.24030463
126,184.62146,193.0,0.043412123
107,232.06268,220.0,-0.054830376
158,274.50552,232.0,-0.18321346
26,277.6206,243.0,-0.14247163
85,231.2614,252.0,0.082296036
55,236.97092,257.0,0.077934176
162,178.94185,294.0,0.39135426
76,341.10333,300.0,-0.13701111
75,351.84723,301.0,-0.16892767
27,201.85245,303.0,0.3338203
164,253.99425,313.0,0.18851678
1,238.44588,316.0,0.24542443
124,206.97083,329.0,0.37090933
118,237.64044,333.0,0.28636503
88,284.58292,337.0,0.1555403
150,374.7083,339.0,-0.10533426
176,383.29187,341.0,-0.12402308
96,313.33405,344.0,0.08914521
2,168.80247,344.0,0.5092951
92,283.13254,346.0,0.18169786
18,290.6142,360.0,0.19273834
14,326.9654,362.0,0.09678068
136,318.45844,365.0,0.12751114
24,299.6434,366.0,0.18130217
105,297.72522,369.0,0.19315659
125,294.46933,372.0,0.20841578
46,314.1441,376.0,0.16451035
99,286.91086,381.0,0.24695313
47,372.18317,383.0,0.028242385
119,477.97385,403.0,-0.18603933
10,258.0794,419.0,0.38405868
52,308.98083,420.0,0.26433134
112,321.9426,451.0,0.28615832
116,305.71066,453.0,0.32514203
61,407.32266,462.0,0.11834922
73,359.98795,466.0,0.22749367
95,484.646,484.0,-0.0013347027
155,393.59003,487.0,0.19180693
104,393.65317,490.0,0.19662619
53,395.88052,493.0,0.19699691
156,464.22424,504.0,0.078920156
94,442.83554,507.0,0.12655711
133,477.41476,507.0,0.05835352
135,466.39053,530.0,0.120017864
128,593.8523,531.0,-0.118365906
122,616.8429,531.0,-0.1616627
67,456.12512,537.0,0.150605
30,404.90524,540.0,0.25017548
120,621.8795,562.0,-0.106547184
22,667.47046,566.0,-0.17927644
31,422.0929,572.0,0.26207536
115,524.38684,572.0,0.08323979
65,450.49728,577.0,0.21924214
60,501.30185,582.0,0.13865662
127,659.6146,602.0,-0.09570535
83,486.23602,609.0,0.20158288
7,705.6106,639.0,-0.10424194
177,521.1993,642.0,0.18816312
159,561.17413,660.0,0.14973617
111,672.36554,669.0,-0.005030702
179,472.75845,692.0,0.31682304
25,580.1492,719.0,0.19311659
19,723.84235,740.0,0.021834668
29,513.835,746.0,0.3112131
91,806.6699,757.0,-0.065614164
48,713.8809,766.0,0.06804057
39,614.6148,775.0,0.20694864
86,803.22217,783.0,-0.025826523
178,897.5916,792.0,-0.13332275
56,697.1547,794.0,0.12197138
144,862.9838,803.0,-0.074699655
42,690.9428,806.0,0.14275086
167,870.7343,815.0,-0.06838566
140,763.40106,821.0,0.07015705
45,674.12805,840.0,0.19746661
58,882.0353,876.0,-0.0068895873
98,800.3469,883.0,0.09360484
82,841.27295,888.0,0.052620552
93,805.4158,891.0,0.09605413
36,997.77216,896.0,-0.113584995
113,789.88226,901.0,0.12332712
64,675.05536,906.0,0.2549058
79,880.1237,913.0,0.03600907
40,813.7611,913.0,0.10869539
84,967.01575,926.0,-0.044293463
33,681.6071,928.0,0.26550958
165,855.7781,975.0,0.1222789
142,919.75146,1005.0,0.08482441
154,1002.9037,1008.0,0.0050558667
147,880.8919,1021.0,0.13722634
161,1284.4382,1026.0,-0.2518891
78,910.60754,1042.0,0.12609641
101,944.3095,1049.0,0.099800274
175,1037.0515,1059.0,0.020725671
11,896.26764,1084.0,0.17318484
20,1051.9701,1109.0,0.051424623
74,969.41284,1138.0,0.14814337
180,940.8982,1141.0,0.17537406
129,1199.1942,1172.0,-0.023203254
71,1286.2869,1209.0,-0.06392627
44,1274.4844,1292.0,0.013556985
23,1441.0665,1300.0,-0.108512715
80,1268.9575,1304.0,0.026873067
132,1383.9697,1304.0,-0.061326478
171,1118.0146,1315.0,0.14979875
166,1414.9718,1339.0,-0.056737717
121,1552.3472,1369.0,-0.1339278
173,1321.2133,1380.0,0.04259909
170,1470.1731,1380.0,-0.06534282
0,1322.338,1382.0,0.043170758
72,1441.845,1387.0,-0.039542157
108,1434.8237,1395.0,-0.028547477
148,1315.2977,1403.0,0.06251053
90,1506.8282,1416.0,-0.06414424
97,1556.0206,1418.0,-0.09733472
160,1610.8545,1423.0,-0.132013
3,1280.6404,1431.0,0.10507311
102,1404.1864,1443.0,0.026897851
37,1450.396,1445.0,-0.0037342533
139,1246.0432,1475.0,0.15522493
13,1544.7435,1483.0,-0.04163421
77,1465.8124,1516.0,0.03310529
157,1596.6514,1516.0,-0.05320011
109,1536.3466,1522.0,-0.009426122
149,1585.5037,1526.0,-0.038993225
21,1736.3345,1581.0,-0.09825078
81,1547.518,1597.0,0.030984381
87,1663.032,1604.0,-0.03680298
6,1736.6528,1618.0,-0.073333025
4,1823.9749,1619.0,-0.12660584
70,1703.5425,1657.0,-0.0280884
174,1813.7656,1666.0,-0.088694856
138,1853.0715,1689.0,-0.09714123
100,1966.252,1695.0,-0.16003065
130,1913.0769,1735.0,-0.102637984
141,1682.499,1747.0,0.036920995
153,2087.462,1769.0,-0.1800237
43,1689.2336,1788.0,0.055238456
110,1970.5288,1793.0,-0.099012166
172,1996.5569,1873.0,-0.06596737
59,2232.7556,1957.0,-0.14090732
114,2088.655,1958.0,-0.06672882
63,1959.4258,1965.0,0.0028367525
15,2246.7388,2087.0,-0.0765399
41,2184.4385,2088.0,-0.04618701
69,2308.06,2102.0,-0.09803048
12,2219.9504,2115.0,-0.04962196
146,2233.699,2127.0,-0.05016407
49,2319.8823,2141.0,-0.083550826
66,2134.2148,2160.0,0.011937573
57,2323.5132,2184.0,-0.06387966
169,2444.7922,2196.0,-0.113293365
17,2469.644,2229.0,-0.10796054
123,2130.7593,2273.0,0.06257841
145,2459.366,2308.0,-0.06558318
134,2709.4482,2362.0,-0.14709917
8,2747.3774,2364.0,-0.1621732
51,2426.396,2383.0,-0.018210657
68,2778.9634,2463.0,-0.12828395
16,2685.695,2467.0,-0.088648185
137,2482.0142,2560.0,0.030463219
89,3192.835,2758.0,-0.15766315
152,3153.292,2781.0,-0.13386983
34,3126.9587,2858.0,-0.09410733
