,output,target,rel_error
23,169.8884,91.0,-0.86690545
18,155.87904,92.0,-0.6943374
134,161.02249,104.0,-0.5482932
62,145.66718,114.0,-0.27778223
41,199.79749,117.0,-0.7076708
135,199.79485,145.0,-0.37789547
121,191.16061,156.0,-0.22538856
139,252.72734,164.0,-0.5410204
3,207.53317,174.0,-0.19271939
174,223.74127,179.0,-0.24995124
148,260.69034,185.0,-0.40913695
82,213.90904,192.0,-0.1141096
16,240.33734,193.0,-0.2452712
86,289.66946,203.0,-0.42694318
4,220.49902,213.0,-0.035206683
24,227.9725,220.0,-0.03623865
26,249.94481,220.0,-0.13611276
169,281.23257,220.0,-0.27832988
119,303.0674,221.0,-0.37134576
95,248.28134,226.0,-0.09859001
175,274.00012,229.0,-0.19650708
167,231.18741,231.0,-0.000811292
88,298.65265,243.0,-0.22902325
6,270.9034,269.0,-0.0070758807
40,271.80466,279.0,0.02578976
108,366.40988,284.0,-0.29017565
14,304.76025,297.0,-0.0261288
131,305.08798,301.0,-0.0135813365
85,391.77878,318.0,-0.23200874
19,332.13815,326.0,-0.01882869
105,441.11,346.0,-0.27488434
151,449.16034,357.0,-0.25815222
21,386.4689,363.0,-0.06465262
125,373.8153,366.0,-0.021353299
66,341.38712,369.0,0.074831665
71,366.9632,372.0,0.013539797
145,352.9665,373.0,0.05370914
91,428.20172,387.0,-0.10646439
147,470.3371,435.0,-0.08123471
177,479.19717,445.0,-0.07684758
27,388.4933,453.0,0.14239892
180,448.50494,461.0,0.027104244
154,458.15622,479.0,0.043515198
31,551.3553,489.0,-0.12751593
102,401.51483,499.0,0.19536106
99,401.1435,503.0,0.20249802
156,496.76028,507.0,0.020196678
38,515.2929,507.0,-0.01635682
100,476.04803,513.0,0.07203112
168,516.3886,513.0,-0.0066054794
73,481.33252,515.0,0.06537375
68,442.85962,536.0,0.17376937
101,603.23193,540.0,-0.11709617
52,533.71436,547.0,0.024288198
76,640.92664,566.0,-0.13237922
110,587.1885,572.0,-0.02655328
46,518.2502,572.0,0.09396821
56,706.78955,614.0,-0.15112305
29,582.32416,617.0,0.056200717
136,633.89343,620.0,-0.022408763
2,596.6585,634.0,0.05889825
48,511.52777,671.0,0.23766354
47,676.8777,686.0,0.013297834
115,575.2131,692.0,0.16876723
12,691.85236,693.0,0.001656052
127,595.05334,699.0,0.14870766
22,782.37354,703.0,-0.11290688
109,635.3382,706.0,0.10008754
60,797.671,713.0,-0.11875319
122,752.2713,718.0,-0.047731616
34,784.32086,721.0,-0.08782367
150,689.0044,761.0,0.09460658
161,668.9411,768.0,0.12898295
94,731.8156,786.0,0.06893688
8,770.66974,794.0,0.029383201
166,831.4979,799.0,-0.04067325
179,787.3649,812.0,0.030338757
98,907.0958,866.0,-0.047454763
114,820.95715,867.0,0.053105935
128,960.9535,868.0,-0.10708927
170,902.31226,872.0,-0.03476176
15,931.036,874.0,-0.06525859
118,888.27686,876.0,-0.014014675
84,871.4692,880.0,0.009694117
43,846.4893,883.0,0.04134845
113,899.1276,888.0,-0.012531108
64,881.51184,894.0,0.013968858
30,896.87256,896.0,-0.00097383774
1,887.94403,901.0,0.014490532
137,1029.5286,912.0,-0.12886904
143,960.2184,926.0,-0.036952898
39,898.8614,962.0,0.06563265
51,1075.9252,970.0,-0.10920121
