,output,target,rel_error
113,632.45514,114.0,-4.547852
174,651.396,130.0,-4.0107384
138,629.82214,137.0,-3.5972419
10,644.629,153.0,-3.2132616
6,667.1266,179.0,-2.7269642
2,658.83997,181.0,-2.6399999
55,652.8291,202.0,-2.2318273
31,667.35156,220.0,-2.0334163
89,728.1921,221.0,-2.2949867
148,686.6128,229.0,-1.9983091
46,660.3614,231.0,-1.8587073
83,654.5414,235.0,-1.7852825
110,739.1278,247.0,-1.9924203
68,700.3891,252.0,-1.7793218
7,700.00885,269.0,-1.6022633
123,709.3633,289.0,-1.4545442
48,688.6295,297.0,-1.3186179
133,678.251,307.0,-1.2092866
100,680.8255,316.0,-1.1545111
179,658.9557,344.0,-0.9155689
15,783.1929,362.0,-1.1635162
164,731.1627,363.0,-1.0142224
4,738.80176,365.0,-1.0241144
160,734.9759,369.0,-0.9918046
117,710.40045,372.0,-0.90967864
161,749.5708,373.0,-1.0095732
167,723.3519,379.0,-0.9085803
105,686.6692,381.0,-0.8022813
9,765.766,387.0,-0.97872347
69,785.3843,390.0,-1.0138059
142,720.5394,402.0,-0.79238665
54,794.281,403.0,-0.9709206
14,714.7634,407.0,-0.7561755
75,767.7274,451.0,-0.7022781
44,810.0326,461.0,-0.7571206
130,763.6816,463.0,-0.64942026
23,787.32996,466.0,-0.68954927
26,852.91394,473.0,-0.8032007
28,753.902,479.0,-0.5739081
140,770.63165,490.0,-0.57271767
119,740.55115,491.0,-0.50825083
116,767.6253,500.0,-0.5352506
36,822.9556,507.0,-0.62318665
88,771.8108,510.0,-0.5133545
49,793.7927,515.0,-0.5413451
141,817.57947,536.0,-0.52533484
175,791.51575,549.0,-0.4417409
42,788.041,553.0,-0.42502895
169,820.5375,566.0,-0.44971284
84,829.0391,566.0,-0.46473342
56,843.9571,567.0,-0.48846048
47,813.7218,596.0,-0.36530504
176,724.91925,605.0,-0.19821364
146,817.58203,609.0,-0.34249923
92,877.39453,614.0,-0.42898133
107,979.2582,630.0,-0.55437803
87,835.0388,635.0,-0.31502175
33,813.78784,642.0,-0.2675823
96,891.6405,669.0,-0.33279598
79,879.33655,671.0,-0.31048664
30,841.28345,674.0,-0.24819502
80,803.7556,679.0,-0.18373434
165,865.54205,681.0,-0.27098686
139,882.21265,692.0,-0.27487376
127,783.20276,692.0,-0.1317959
34,808.781,699.0,-0.15705436
60,893.11115,702.0,-0.2722381
132,1037.572,713.0,-0.45522022
