,output,target,rel_error
87,167.22664,39.0,-3.2878625
154,226.27531,71.0,-2.1869762
131,211.63,78.0,-1.7132052
89,231.6236,80.0,-1.8952949
152,207.84673,91.0,-1.28403
147,201.25333,95.0,-1.1184561
21,213.57927,109.0,-0.95944285
59,241.73615,138.0,-0.7517112
80,246.59186,155.0,-0.5909152
130,249.87321,156.0,-0.6017514
157,244.76543,157.0,-0.55901545
167,250.7164,174.0,-0.44089887
97,298.75784,176.0,-0.6974878
31,261.24826,181.0,-0.44336057
120,308.3523,185.0,-0.66676915
118,271.78354,187.0,-0.45338792
7,262.1203,194.0,-0.35113558
86,305.94788,201.0,-0.52212876
13,333.79364,210.0,-0.5894935
115,292.53998,211.0,-0.3864454
54,319.85013,213.0,-0.5016438
11,284.8559,220.0,-0.29479954
58,357.09348,232.0,-0.539196
171,280.70874,234.0,-0.19961
36,330.4062,257.0,-0.2856272
161,310.9843,279.0,-0.11463912
150,360.3625,288.0,-0.25125864
126,326.26233,294.0,-0.10973582
110,383.99106,300.0,-0.2799702
160,354.40424,301.0,-0.17742272
18,320.5184,303.0,-0.05781651
102,318.42297,303.0,-0.050900903
174,370.66663,313.0,-0.18423842
158,393.6534,319.0,-0.23402323
139,380.3588,337.0,-0.12866111
44,363.0911,339.0,-0.07106518
73,462.66113,346.0,-0.3371709
99,422.89337,352.0,-0.20140162
69,437.32834,355.0,-0.23191081
146,385.25293,360.0,-0.07014703
45,467.5227,362.0,-0.2914992
151,470.0763,365.0,-0.28788027
140,433.43066,379.0,-0.14361653
119,486.3911,387.0,-0.25682458
143,399.23856,394.0,-0.013295827
15,397.3083,434.0,0.08454312
28,450.6908,434.0,-0.038458057
108,510.81274,435.0,-0.17428216
57,508.78055,461.0,-0.103645444
88,550.6649,488.0,-0.12841171
114,471.54437,493.0,0.043520544
111,558.63617,504.0,-0.1084051
51,579.82715,510.0,-0.13691598
155,541.5675,519.0,-0.04348267
128,541.8578,533.0,-0.01661874
48,546.5115,535.0,-0.021516776
72,596.0102,537.0,-0.10988863
