,output,target,rel_error
33,767.94464,82.0,-8.365178
37,776.4484,102.0,-6.6122394
19,790.2769,127.0,-5.222653
120,795.2768,132.0,-5.024824
85,780.2329,135.0,-4.779503
20,791.6896,144.0,-4.497844
173,793.14905,154.0,-4.1503186
171,788.15906,161.0,-3.895398
158,786.3817,162.0,-3.854208
118,801.95557,172.0,-3.6625323
133,784.8182,178.0,-3.409091
15,784.4141,180.0,-3.3578563
56,801.8794,187.0,-3.288125
154,776.93304,197.0,-2.9438226
13,812.07007,201.0,-3.0401497
42,796.30524,220.0,-2.6195693
161,833.29614,221.0,-2.7705708
119,800.30646,225.0,-2.5569177
126,809.718,231.0,-2.5052729
4,842.07837,232.0,-2.6296482
139,786.50964,235.0,-2.3468494
32,786.308,238.0,-2.3038151
49,805.3576,242.0,-2.327924
61,844.7593,257.0,-2.2870011
48,814.71814,269.0,-2.028692
79,816.33936,277.0,-1.9470735
74,826.3641,289.0,-1.8593912
94,881.0233,293.0,-2.0069056
73,812.42883,297.0,-1.7354506
43,864.47034,301.0,-1.8719945
5,811.89294,301.0,-1.6973188
114,852.8401,302.0,-1.8239738
136,804.1675,303.0,-1.654018
68,819.79504,337.0,-1.4326262
112,872.4463,339.0,-1.5735879
2,883.57825,341.0,-1.5911386
27,836.9763,344.0,-1.4330707
86,840.62103,346.0,-1.4295405
150,849.6632,362.0,-1.3471359
67,869.5261,362.0,-1.4020059
97,826.97723,366.0,-1.2595006
66,822.79144,371.0,-1.2177666
106,885.1183,372.0,-1.3793502
155,830.2313,379.0,-1.190584
50,821.28284,399.0,-1.058353
98,820.26587,403.0,-1.0353992
127,879.48816,403.0,-1.1823528
38,830.93805,406.0,-1.0466454
138,840.099,433.0,-0.94018245
17,820.1205,434.0,-0.88967854
165,859.8479,435.0,-0.97666186
35,887.18506,445.0,-0.9936743
51,840.8481,448.0,-0.87689304
172,885.5068,465.0,-0.90431565
129,861.88684,467.0,-0.8455821
157,922.39014,473.0,-0.95008487
22,860.14264,479.0,-0.7957049
99,870.7217,490.0,-0.776983
65,823.77527,499.0,-0.65085226
78,899.1956,499.0,-0.8019952
82,863.89355,515.0,-0.67746323
176,862.2622,519.0,-0.66139156
84,904.89404,540.0,-0.6757297
105,885.40674,545.0,-0.6245995
10,929.31396,548.0,-0.6958284
162,883.7854,549.0,-0.60980946
143,900.404,566.0,-0.5908198
151,896.9379,572.0,-0.5680733
101,879.2522,578.0,-0.52119756
177,917.1908,593.0,-0.5466961
159,901.7085,596.0,-0.51293373
144,890.87415,601.0,-0.4823197
137,861.2395,603.0,-0.42825788
168,898.98914,609.0,-0.47617263
8,927.8119,614.0,-0.5110943
96,911.99084,635.0,-0.43620604
60,902.4973,659.0,-0.36949515
142,908.31836,660.0,-0.37623993
156,869.978,673.0,-0.29268652
128,895.2151,679.0,-0.31843165
160,941.6555,679.0,-0.386827
21,937.6472,681.0,-0.37686816
109,880.2565,685.0,-0.28504595
47,920.3766,686.0,-0.34165683
131,951.6635,692.0,-0.3752363
83,930.9903,693.0,-0.34342033
80,999.43274,695.0,-0.43803272
163,893.7057,698.0,-0.28038064
147,977.6456,724.0,-0.35033926
59,857.9617,727.0,-0.18013985
54,932.2067,749.0,-0.24460177
123,979.6882,758.0,-0.2924646
36,956.8208,766.0,-0.24911332
18,957.00024,767.0,-0.2477187
92,933.8808,768.0,-0.21599062
124,917.59357,772.0,-0.1885927
166,936.90845,786.0,-0.19199549
53,1022.3738,792.0,-0.29087597
102,1004.7915,803.0,-0.25129703
52,908.09937,811.0,-0.11972795
178,982.6748,815.0,-0.20573595
121,972.9198,824.0,-0.18072791
141,981.35394,837.0,-0.17246588
103,916.148,840.0,-0.09065239
146,1014.1439,840.0,-0.2073142
175,966.0509,851.0,-0.13519496
7,1005.44965,856.0,-0.1745907
130,948.60986,866.0,-0.09539245
62,1055.5171,868.0,-0.21603352
149,1057.3314,872.0,-0.21253604
122,975.0381,883.0,-0.10423339
89,1105.5059,886.0,-0.24774928
16,1044.7085,912.0,-0.1455137
31,1002.31244,931.0,-0.076597676
55,978.8638,945.0,-0.035834678
72,981.66846,949.0,-0.034424085
115,1110.8444,958.0,-0.15954526
6,1061.9817,977.0,-0.08698228
132,1043.0422,981.0,-0.06324387
71,1031.8872,994.0,-0.038115904
111,1107.1804,1008.0,-0.09839328
29,1047.1531,1028.0,-0.018631397
44,997.56213,1048.0,0.048127733
116,1159.2883,1057.0,-0.096772306
167,1056.8975,1059.0,0.0019854004
77,1043.4467,1079.0,0.032950275
174,1171.6942,1083.0,-0.08189678
100,1024.7765,1111.0,0.07760892
58,1151.9373,1148.0,-0.0034296655
14,1107.0837,1167.0,0.051342126
169,1143.3738,1202.0,0.048773896
46,1083.5114,1207.0,0.1023104
153,1140.8235,1209.0,0.05639083
90,1111.4916,1231.0,0.09708239
148,1180.8914,1236.0,0.044586282
0,1139.4268,1249.0,0.087728776
107,1179.9723,1267.0,0.06868801
170,1162.917,1286.0,0.09570996
45,1192.7035,1298.0,0.081122115
3,1186.0925,1380.0,0.14051266
145,1213.4807,1380.0,0.120666154
12,1220.8317,1387.0,0.11980414
28,1203.1443,1401.0,0.14122464
81,1335.7509,1416.0,0.056673124
75,1295.1637,1427.0,0.092387035
91,1136.2102,1436.0,0.20876727
70,1219.0756,1443.0,0.15517978
23,1331.3622,1483.0,0.10225072
1,1207.0526,1496.0,0.19314665
125,1345.6898,1526.0,0.118158706
104,1169.5364,1544.0,0.24252826
140,1130.1685,1544.0,0.2680256
34,1391.8337,1554.0,0.10435409
64,1285.4614,1570.0,0.18123476
134,1221.9741,1578.0,0.22561842
110,1310.2356,1607.0,0.18466982
41,1175.4832,1645.0,0.28542057
40,1239.3912,1662.0,0.25427723
24,1180.1191,1672.0,0.29418713
164,1371.6218,1707.0,0.19647227
63,1205.129,1731.0,0.30379605
117,1209.0771,1788.0,0.32378235
9,1622.0671,1839.0,0.117962405
88,1549.572,1857.0,0.16555087
113,1480.472,1883.0,0.2137695
93,1314.418,1957.0,0.32835054
95,1561.1753,1985.0,0.2135137
26,1448.8381,1993.0,0.27303657
152,1413.3939,2042.0,0.30783844
135,1438.301,2109.0,0.31801754
76,1433.9409,2115.0,0.32201374
30,1301.2003,2119.0,0.38593662
69,1503.8625,2234.0,0.32682964
87,1536.2085,2250.0,0.31724066
108,1762.4641,2364.0,0.25445682
11,1680.1996,2419.0,0.30541563
57,1725.0061,2631.0,0.34435344
179,1922.3147,2758.0,0.3030041
39,2013.5261,3545.0,0.43200955
25,2533.199,3935.0,0.35623914
