,output,target,rel_error
172,112.93397,91.0,-0.24103262
116,104.55249,97.0,-0.07786072
26,113.62014,104.0,-0.09250135
52,122.49801,114.0,-0.07454394
99,137.21362,135.0,-0.016397208
112,147.0554,144.0,-0.021218088
85,182.30115,161.0,-0.13230526
46,205.69617,172.0,-0.19590795
21,182.74075,174.0,-0.050234213
177,199.6271,193.0,-0.034337334
130,224.74709,205.0,-0.096327245
6,232.78848,210.0,-0.10851658
173,234.25615,219.0,-0.06966278
129,259.81366,242.0,-0.073610164
57,238.29741,257.0,0.07277273
0,275.0578,279.0,0.014129748
81,311.67786,284.0,-0.09745724
171,302.2193,288.0,-0.04937257
40,312.71973,293.0,-0.06730282
118,339.47784,318.0,-0.06754039
102,328.99902,326.0,-0.009199458
80,304.10095,329.0,0.07568099
3,356.9271,365.0,0.022117551
2,391.08282,379.0,-0.031880803
61,416.36353,387.0,-0.075874746
157,419.6568,395.0,-0.062422276
149,401.03137,399.0,-0.005091158
76,384.54666,402.0,0.043416265
135,406.6374,406.0,-0.0015699264
51,440.96683,439.0,-0.0044802446
145,460.2846,441.0,-0.043729268
68,479.6977,479.0,-0.0014565613
117,483.71387,484.0,0.0005911835
101,514.76,493.0,-0.04413795
84,530.3406,500.0,-0.060681153
115,457.76166,503.0,0.08993706
146,532.91785,504.0,-0.05737668
100,479.30096,505.0,0.05088918
54,501.7094,505.0,0.0065160166
132,515.54504,507.0,-0.01685413
28,514.9138,519.0,0.007873182
64,558.5043,522.0,-0.06993156
42,523.0649,535.0,0.022308635
86,538.0489,535.0,-0.0056988583
153,565.0552,537.0,-0.052244276
32,590.83044,540.0,-0.09413045
96,581.0216,550.0,-0.05640292
62,543.5443,555.0,0.02064088
90,571.00726,562.0,-0.016027158
138,555.2079,562.0,0.012085613
121,576.77734,570.0,-0.011890077
35,591.76605,582.0,-0.016780159
1,608.8412,591.0,-0.030188132
160,580.9443,603.0,0.03657666
150,595.92584,609.0,0.021468239
75,645.3821,609.0,-0.05974069
66,648.8932,615.0,-0.055110876
113,629.3522,616.0,-0.021675605
31,620.40515,620.0,-0.00065346994
104,634.0037,632.0,-0.0031704481
175,643.5808,635.0,-0.013513087
163,573.3799,643.0,0.1082739
92,643.17505,660.0,0.02549235
97,675.7317,673.0,-0.004058974
48,679.28064,675.0,-0.0063416883
137,643.73773,679.0,0.051932648
94,679.397,683.0,0.005275296
16,678.38904,695.0,0.023900665
70,710.9113,698.0,-0.018497588
131,694.07385,702.0,0.011290808
58,733.0054,703.0,-0.042681895
155,681.5311,706.0,0.034658458
69,694.1425,719.0,0.0345723
127,748.05884,741.0,-0.009526097
10,757.3074,757.0,-0.000406041
65,803.0786,757.0,-0.06087003
87,739.3252,761.0,0.028482003
41,726.9651,763.0,0.04722793
83,764.8413,766.0,0.0015126519
7,771.4378,768.0,-0.004476309
128,816.079,771.0,-0.058468197
124,797.8961,772.0,-0.033544194
114,814.02374,799.0,-0.018803183
166,820.408,803.0,-0.021678729
77,806.38574,815.0,0.010569641
161,812.94666,815.0,0.0025194413
82,841.8365,821.0,-0.025379399
8,836.99634,821.0,-0.019483969
36,826.9496,836.0,0.010825856
169,872.1686,840.0,-0.03829593
179,835.8893,840.0,0.004893712
123,792.26294,842.0,0.059070144
109,880.46765,866.0,-0.016706295
147,902.2227,896.0,-0.006944997
162,916.4005,900.0,-0.018222792
139,924.7468,928.0,0.0035055752
71,961.7201,960.0,-0.0017917634
63,969.82043,976.0,0.006331522
9,983.4856,994.0,0.010577871
29,966.31384,995.0,0.028830308
18,1040.9768,1002.0,-0.03889901
170,1015.46014,1014.0,-0.0014399843
140,984.1216,1031.0,0.04546888
45,1037.4567,1037.0,-0.0004403713
37,1109.6401,1082.0,-0.025545413
56,1097.4663,1084.0,-0.012422794
20,1110.1063,1088.0,-0.020318313
98,1130.4904,1093.0,-0.034300417
23,1109.3171,1109.0,-0.00028596816
167,1120.8137,1111.0,-0.008833232
55,1086.1099,1121.0,0.031124119
50,1150.4448,1129.0,-0.01899453
148,1129.2949,1136.0,0.0059023574
133,1088.7054,1141.0,0.045832213
15,1143.8159,1148.0,0.0036446708
17,1171.8162,1149.0,-0.019857408
111,1176.1047,1166.0,-0.008666155
154,1215.8983,1172.0,-0.0374559
24,1155.0559,1176.0,0.017809602
141,1198.4657,1202.0,0.002940351
156,1286.9777,1246.0,-0.03288737
43,1255.6063,1249.0,-0.00528929
59,1268.8793,1271.0,0.0016685504
105,1340.9873,1292.0,-0.03791587
144,1366.532,1304.0,-0.047953974
53,1282.6364,1309.0,0.020140296
134,1351.2808,1332.0,-0.014475047
12,1355.31,1348.0,-0.005422892
19,1391.7844,1368.0,-0.017386274
22,1411.4053,1369.0,-0.030975364
38,1378.7657,1382.0,0.0023402697
152,1431.2235,1409.0,-0.015772542
108,1436.9366,1420.0,-0.011927215
158,1490.7749,1457.0,-0.023181127
27,1480.0033,1475.0,-0.003392065
95,1481.82,1507.0,0.016708728
60,1518.1047,1512.0,-0.004037524
34,1525.5555,1562.0,0.02333192
78,1560.8314,1593.0,0.020193709
174,1557.8547,1593.0,0.022062313
125,1674.7201,1641.0,-0.020548502
74,1675.3495,1694.0,0.011009748
30,1738.5735,1695.0,-0.025707072
88,1727.396,1744.0,0.009520644
119,1737.9369,1752.0,0.0080268895
120,1773.3552,1763.0,-0.0058736387
106,1803.2568,1793.0,-0.0057204887
143,1759.1597,1802.0,0.023773769
107,1799.2993,1816.0,0.009196412
4,1853.6353,1826.0,-0.015134312
33,1862.5165,1836.0,-0.014442527
142,1883.1886,1857.0,-0.014102638
151,1862.2739,1863.0,0.00038973388
49,1883.3513,1874.0,-0.004990031
73,1879.3529,1912.0,0.01707484
79,1988.063,1957.0,-0.015872758
176,2038.503,2000.0,-0.019251525
14,2033.1228,2051.0,0.008716332
93,2079.1155,2058.0,-0.010260194
103,2145.0918,2087.0,-0.027835073
47,2121.1895,2115.0,-0.0029264553
44,2144.6528,2122.0,-0.010675227
13,2168.8008,2150.0,-0.008744549
168,2144.3958,2159.0,0.0067643574
25,2166.6682,2164.0,-0.0012330004
110,2210.858,2195.0,-0.0072245602
164,2273.065,2259.0,-0.00622618
89,2319.6663,2272.0,-0.020979868
165,2305.1162,2305.0,-5.0416893e-05
178,2330.4495,2329.0,-0.00062235416
5,2417.9644,2364.0,-0.022827562
122,2420.4873,2429.0,0.003504609
72,2468.5698,2456.0,-0.0051180064
159,2472.3367,2467.0,-0.0021632225
39,2583.5273,2500.0,-0.033410937
126,2545.5278,2522.0,-0.009329038
136,2604.3877,2616.0,0.0044389544
11,2676.5566,2631.0,-0.017315334
91,2901.7314,2869.0,-0.01140866
67,3095.959,3046.0,-0.016401505
