,output,target,rel_error
10,975.33997,36.0,-26.092777
92,981.657,67.0,-13.651597
170,977.03235,82.0,-10.915029
79,981.91833,87.0,-10.286418
47,981.3718,126.0,-6.7886653
139,988.8002,132.0,-6.4909105
167,986.58844,153.0,-5.4482903
43,986.6118,161.0,-5.1280236
86,982.3816,162.0,-5.064084
165,989.9446,172.0,-4.7554917
83,987.9858,178.0,-4.550482
90,983.819,179.0,-4.4961953
38,989.47046,210.0,-3.711764
176,989.0932,213.0,-3.64363
45,991.40356,220.0,-3.5063798
69,996.11523,221.0,-3.5073087
158,992.8933,225.0,-3.4128592
122,987.76697,238.0,-3.1502814
29,995.48596,247.0,-3.0303075
102,995.2565,274.0,-2.6323228
85,1006.8738,298.0,-2.378771
169,1000.33093,301.0,-2.3233585
6,998.9253,303.0,-2.2967832
12,996.9674,304.0,-2.279498
112,996.7133,311.0,-2.204866
42,998.7492,313.0,-2.190892
20,998.8702,326.0,-2.064019
95,998.5918,328.0,-2.0444872
162,998.1623,329.0,-2.033928
18,1003.31024,330.0,-2.040334
11,1000.7195,342.0,-1.9260803
80,1001.4087,344.0,-1.9110718
32,1006.2355,363.0,-1.7719985
128,1009.93054,371.0,-1.7221848
116,1006.2778,373.0,-1.6977956
149,1009.2035,379.0,-1.662806
160,1005.5364,379.0,-1.6531303
157,1008.86127,390.0,-1.5868238
175,1002.16425,434.0,-1.3091342
39,1011.39856,435.0,-1.3250542
26,1013.8832,445.0,-1.2783892
31,1006.7749,451.0,-1.2323169
137,1008.43005,453.0,-1.2261149
53,1013.0981,462.0,-1.192853
94,1017.63806,465.0,-1.1884689
9,1016.44574,488.0,-1.0828806
144,1016.23486,500.0,-1.0324697
59,1017.21814,505.0,-1.0142933
61,1015.2759,513.0,-0.9790953
178,1018.1601,515.0,-0.9770099
60,1012.33624,530.0,-0.9100684
142,1017.73096,537.0,-0.8952159
67,1020.1062,548.0,-0.86150765
124,1019.4666,553.0,-0.8435201
143,1015.36096,555.0,-0.8294792
97,1020.93866,562.0,-0.81661683
115,1024.6001,566.0,-0.81024754
118,1029.4447,567.0,-0.81559914
161,1032.1333,569.0,-0.81394255
163,1023.1862,582.0,-0.75805193
99,1029.2882,591.0,-0.7416044
123,1018.84265,605.0,-0.68403745
159,1033.3593,620.0,-0.66670847
133,1033.4617,632.0,-0.63522416
34,1036.7483,638.0,-0.6249973
117,1019.62274,643.0,-0.58572745
145,1019.0574,657.0,-0.55107665
35,1034.5808,660.0,-0.56754667
78,1032.6279,669.0,-0.5435395
174,1038.4758,674.0,-0.54076535
152,1038.2147,686.0,-0.51343256
5,1031.8123,693.0,-0.48890656
56,1031.9592,693.0,-0.48911867
14,1045.4712,695.0,-0.5042751
87,1031.1956,698.0,-0.47735754
103,1041.7971,718.0,-0.45097092
173,1047.55,724.0,-0.44689232
49,1024.2623,727.0,-0.40888903
136,1044.0712,735.0,-0.420505
2,1043.6333,740.0,-0.41031528
147,1039.3958,761.0,-0.36582884
141,1034.5565,768.0,-0.3470788
75,1045.0917,775.0,-0.34850538
134,1058.1146,792.0,-0.3360033
114,1052.0591,798.0,-0.31836978
64,1052.823,803.0,-0.31111208
36,1046.1638,806.0,-0.29797
91,1046.417,824.0,-0.26992354
17,1052.1699,832.0,-0.2646273
179,1053.617,837.0,-0.2588016
106,1051.131,842.0,-0.24837409
131,1041.2714,845.0,-0.2322738
8,1050.9281,867.0,-0.21214314
68,1059.507,888.0,-0.19313847
48,1064.9559,896.0,-0.1885669
15,1067.449,899.0,-0.18737373
171,1045.7368,928.0,-0.12687157
154,1073.0736,937.0,-0.14522263
22,1047.3416,960.0,-0.09098078
127,1078.7471,970.0,-0.112110384
96,1068.5651,977.0,-0.09372064
101,1069.2249,998.0,-0.07136759
100,1061.074,1005.0,-0.055795
113,1069.8066,1008.0,-0.06131611
13,1066.5605,1009.0,-0.05704712
111,1081.5984,1009.0,-0.07195083
72,1079.2173,1026.0,-0.0518687
119,1073.2595,1027.0,-0.04504335
84,1075.2073,1028.0,-0.045921475
150,1068.5276,1031.0,-0.03639921
168,1060.1465,1032.0,-0.027273726
105,1073.6194,1040.0,-0.032326333
65,1076.8718,1072.0,-0.004544614
19,1071.4993,1109.0,0.033814907
148,1075.188,1111.0,0.032234035
30,1075.7516,1129.0,0.047164228
172,1086.931,1164.0,0.066210456
110,1082.7805,1167.0,0.07216751
88,1085.5562,1172.0,0.07375755
28,1083.6687,1192.0,0.09088196
33,1086.1389,1218.0,0.10826033
109,1094.2596,1236.0,0.11467666
62,1093.25,1242.0,0.1197665
63,1105.3237,1243.0,0.11076128
70,1116.5419,1243.0,0.101736225
46,1092.329,1246.0,0.12333148
120,1091.1997,1257.0,0.13190159
132,1094.905,1304.0,0.1603489
52,1086.2356,1315.0,0.17396532
0,1101.3701,1342.0,0.17930692
130,1107.9662,1380.0,0.19712596
7,1117.9114,1420.0,0.21273847
146,1111.073,1421.0,0.21810485
164,1106.2958,1421.0,0.22146674
41,1100.6493,1436.0,0.23353113
107,1108.795,1443.0,0.23160426
50,1111.42,1453.0,0.235086
76,1119.7402,1474.0,0.24033906
71,1126.2571,1490.0,0.24412276
4,1112.7722,1496.0,0.2561683
1,1121.5735,1507.0,0.25575748
25,1127.9414,1524.0,0.25988096
44,1115.9193,1548.0,0.2791219
58,1131.7122,1581.0,0.28417954
153,1122.9803,1586.0,0.29194176
54,1134.899,1593.0,0.28757122
81,1132.4164,1593.0,0.2891297
104,1131.9927,1629.0,0.30509964
24,1139.6611,1631.0,0.30125007
177,1129.6357,1631.0,0.30739686
125,1141.1448,1642.0,0.30502754
138,1120.0056,1645.0,0.31914553
82,1144.543,1678.0,0.3179124
57,1130.2352,1694.0,0.33280092
121,1143.1245,1718.0,0.33461902
126,1141.4979,1741.0,0.3443435
