,output,target,rel_error
158,104.52381,36.0,-1.9034392
127,122.04272,78.0,-0.56465024
151,128.49037,80.0,-0.60612965
84,130.61093,95.0,-0.3748519
175,122.37581,97.0,-0.26160628
22,151.62837,117.0,-0.29596898
152,172.35007,145.0,-0.18862115
179,190.67929,154.0,-0.23817721
76,172.79964,155.0,-0.114836365
106,182.17334,169.0,-0.07794876
115,233.17972,205.0,-0.13746203
95,242.35521,210.0,-0.15407242
121,241.85538,219.0,-0.10436245
18,246.25345,220.0,-0.119333856
89,221.49353,235.0,0.057474338
91,241.22333,236.0,-0.022132745
29,260.033,266.0,0.02243237
44,269.03757,294.0,0.084906235
42,351.81744,298.0,-0.18059544
147,315.24265,300.0,-0.050808817
113,317.85498,302.0,-0.052499935
163,281.046,303.0,0.07245548
87,288.50763,303.0,0.047829606
74,300.875,311.0,0.03255627
139,262.70532,316.0,0.16865404
7,346.53738,318.0,-0.0897402
128,355.2281,320.0,-0.110087775
156,347.94904,353.0,0.014308681
103,369.21017,355.0,-0.04002866
122,379.6035,365.0,-0.040009547
35,331.0916,369.0,0.102732755
143,375.8321,371.0,-0.013024507
101,384.40536,372.0,-0.033347756
34,380.7117,373.0,-0.0206748
155,392.61182,394.0,0.0035233086
64,350.7797,419.0,0.16281696
23,406.28088,434.0,0.06386893
150,436.36935,445.0,0.019394709
62,416.1513,448.0,0.07109083
26,463.34442,451.0,-0.027371222
170,496.35303,458.0,-0.083740234
38,482.22156,470.0,-0.026003314
149,527.95435,473.0,-0.11618255
86,504.14056,475.0,-0.061348557
100,514.692,486.0,-0.05903707
90,477.41086,487.0,0.01969023
107,524.9699,493.0,-0.064847685
92,509.5036,498.0,-0.023099601
55,534.7398,504.0,-0.060991682
140,497.28467,505.0,0.015277885
24,516.01575,507.0,-0.01778254
70,535.65784,535.0,-0.0012296017
5,550.55383,555.0,0.008011112
118,580.1434,562.0,-0.032283578
173,542.651,566.0,0.041252647
144,576.8133,567.0,-0.017307395
157,640.9223,569.0,-0.12640123
31,573.64575,577.0,0.005813255
27,544.6421,578.0,0.057712648
108,584.82214,578.0,-0.011803016
136,652.86273,601.0,-0.08629406
71,592.87994,602.0,0.015149595
17,568.9375,603.0,0.05648839
162,654.3709,609.0,-0.07450067
77,590.0738,609.0,0.031077517
61,663.6153,610.0,-0.087893926
4,625.6825,616.0,-0.015718337
36,674.0393,630.0,-0.069903664
104,618.762,637.0,0.028631046
46,646.9928,644.0,-0.004647202
0,628.72015,648.0,0.029752849
51,661.4275,661.0,-0.0006467326
53,680.1005,669.0,-0.016592713
32,662.9547,675.0,0.01784487
72,669.73785,679.0,0.013640863
39,663.0716,695.0,0.045940153
16,624.02295,699.0,0.107263304
114,762.6758,702.0,-0.08643274
48,753.28467,721.0,-0.044777624
134,786.8511,731.0,-0.076403655
132,784.0614,740.0,-0.059542432
129,780.7755,740.0,-0.055102043
96,748.1061,744.0,-0.0055189235
164,748.05133,757.0,0.011821228
153,765.4491,768.0,0.0033214886
81,694.5418,775.0,0.10381702
133,779.1934,806.0,0.033258785
167,796.6256,812.0,0.018933978
82,788.68616,816.0,0.033472847
123,878.7191,837.0,-0.049843628
142,872.26917,840.0,-0.038415674
137,813.5196,840.0,0.031524293
19,826.22034,845.0,0.022224454
145,840.1161,864.0,0.027643416
93,890.182,870.0,-0.023197709
119,910.79126,874.0,-0.042095263
154,854.4354,906.0,0.056914542
98,980.23206,912.0,-0.07481585
1,962.00635,918.0,-0.0479372
177,932.68915,931.0,-0.0018143372
109,930.79877,945.0,0.01502776
110,995.7516,989.0,-0.0068266806
117,987.6797,993.0,0.0053578173
47,1010.5041,997.0,-0.013544723
30,1028.019,1014.0,-0.013825486
57,1037.1943,1024.0,-0.012885094
168,1100.2432,1026.0,-0.07236176
85,996.4943,1027.0,0.029703677
49,1052.339,1072.0,0.018340494
171,1037.1128,1084.0,0.04325388
33,1136.958,1093.0,-0.040217757
166,1133.7709,1110.0,-0.021415202
78,1118.755,1111.0,-0.0069802026
69,1139.758,1132.0,-0.006853407
37,1117.7373,1138.0,0.017805532
25,1176.0869,1178.0,0.0016240118
59,1158.7811,1192.0,0.027868181
9,1188.842,1202.0,0.010946721
3,1183.1885,1220.0,0.03017338
