,output,target,rel_error
0,1.5899224,1.0,-0.5899224
144,1.5899224,1.0,-0.5899224
147,1.5899224,1.0,-0.5899224
150,1.5899224,1.0,-0.5899224
151,1.5899224,1.0,-0.5899224
152,1.5899224,1.0,-0.5899224
153,1.5899224,1.0,-0.5899224
154,1.5899224,1.0,-0.5899224
156,1.5899224,1.0,-0.5899224
142,1.5899224,1.0,-0.5899224
157,1.5899224,1.0,-0.5899224
161,1.5899224,1.0,-0.5899224
162,1.5899224,1.0,-0.5899224
165,1.5899224,1.0,-0.5899224
166,1.5899224,1.0,-0.5899224
170,1.5899224,1.0,-0.5899224
175,1.5899224,1.0,-0.5899224
176,1.5899224,1.0,-0.5899224
177,1.5899224,1.0,-0.5899224
160,1.5899224,1.0,-0.5899224
140,1.5899224,1.0,-0.5899224
139,1.5899224,1.0,-0.5899224
138,1.5899224,1.0,-0.5899224
101,1.5899224,1.0,-0.5899224
102,1.5899224,1.0,-0.5899224
104,1.5899224,1.0,-0.5899224
105,1.5899224,1.0,-0.5899224
107,1.5899224,1.0,-0.5899224
108,1.5899224,1.0,-0.5899224
112,1.5899224,1.0,-0.5899224
115,1.5899224,1.0,-0.5899224
116,1.5899224,1.0,-0.5899224
118,1.5899224,1.0,-0.5899224
119,1.5899224,1.0,-0.5899224
120,1.5899224,1.0,-0.5899224
124,1.5899224,1.0,-0.5899224
126,1.5899224,1.0,-0.5899224
128,1.5899224,1.0,-0.5899224
130,1.5899224,1.0,-0.5899224
131,1.5899224,1.0,-0.5899224
132,1.5899224,1.0,-0.5899224
133,1.5899224,1.0,-0.5899224
178,1.5899224,1.0,-0.5899224
179,1.5899224,1.0,-0.5899224
180,1.5899224,1.0,-0.5899224
182,1.5899224,1.0,-0.5899224
226,1.5899224,1.0,-0.5899224
227,1.5899224,1.0,-0.5899224
228,1.5899224,1.0,-0.5899224
229,1.5899224,1.0,-0.5899224
230,1.5899224,1.0,-0.5899224
231,1.5899224,1.0,-0.5899224
234,1.5899224,1.0,-0.5899224
235,1.5899224,1.0,-0.5899224
236,1.5899224,1.0,-0.5899224
237,1.5899224,1.0,-0.5899224
238,1.5899224,1.0,-0.5899224
241,1.5899224,1.0,-0.5899224
244,1.5899224,1.0,-0.5899224
247,1.5899224,1.0,-0.5899224
248,1.5899224,1.0,-0.5899224
249,1.5899224,1.0,-0.5899224
250,1.5899224,1.0,-0.5899224
251,1.5899224,1.0,-0.5899224
252,1.5899224,1.0,-0.5899224
224,1.5899224,1.0,-0.5899224
98,1.5899224,1.0,-0.5899224
223,1.5899224,1.0,-0.5899224
219,1.5899224,1.0,-0.5899224
183,1.5899224,1.0,-0.5899224
185,1.5899224,1.0,-0.5899224
186,1.5899224,1.0,-0.5899224
188,1.5899224,1.0,-0.5899224
190,1.5899224,1.0,-0.5899224
193,1.5899224,1.0,-0.5899224
194,1.5899224,1.0,-0.5899224
196,1.5899224,1.0,-0.5899224
197,1.5899224,1.0,-0.5899224
198,1.5899224,1.0,-0.5899224
200,1.5899224,1.0,-0.5899224
201,1.5899224,1.0,-0.5899224
202,1.5899224,1.0,-0.5899224
205,1.5899224,1.0,-0.5899224
206,1.5899224,1.0,-0.5899224
208,1.5899224,1.0,-0.5899224
210,1.5899224,1.0,-0.5899224
214,1.5899224,1.0,-0.5899224
217,1.5899224,1.0,-0.5899224
222,1.5899224,1.0,-0.5899224
92,1.5899224,1.0,-0.5899224
127,1.5899224,1.0,-0.5899224
254,1.5899224,1.0,-0.5899224
19,1.5899224,1.0,-0.5899224
21,1.5899224,1.0,-0.5899224
73,1.5899224,1.0,-0.5899224
