,output,target,rel_error
54,10.518557,1.0,-9.518557
44,10.759203,1.0,-9.759203
35,10.333912,1.0,-9.333912
33,9.864948,1.0,-8.864948
32,11.066195,1.0,-10.066195
31,10.271963,1.0,-9.271963
30,10.336958,1.0,-9.336958
49,10.910007,1.0,-9.910007
50,10.220499,1.0,-9.220499
135,9.813341,1.0,-8.813341
25,9.997988,1.0,-8.997988
60,10.939678,1.0,-9.939678
119,11.027903,1.0,-10.027903
131,10.216158,1.0,-9.216158
118,10.40707,1.0,-9.40707
68,10.706123,1.0,-9.706123
77,10.522692,1.0,-9.522692
111,9.914602,1.0,-8.914602
112,10.03407,1.0,-9.03407
100,10.286444,1.0,-9.286444
99,10.31478,1.0,-9.31478
98,10.237307,1.0,-9.237307
140,9.582947,1.0,-8.582947
95,10.259486,1.0,-9.259486
139,10.317616,1.0,-9.317616
129,11.215822,1.0,-10.215822
13,10.683426,1.0,-9.683426
89,9.677894,1.0,-8.677894
93,10.790888,2.0,-4.395444
59,11.8302,2.0,-4.9151
88,11.20857,2.0,-4.604285
62,11.410248,2.0,-4.705124
117,11.4828005,2.0,-4.7414002
67,11.908994,2.0,-4.954497
69,10.387906,2.0,-4.193953
48,10.446725,2.0,-4.2233624
70,11.698612,2.0,-4.849306
127,9.607895,2.0,-3.8039474
106,10.470584,2.0,-4.235292
123,10.485554,2.0,-4.242777
0,11.990313,2.0,-4.9951563
22,11.124757,2.0,-4.5623784
39,10.937273,2.0,-4.4686365
133,12.037193,2.0,-5.0185966
11,10.978729,2.0,-4.4893646
36,10.394392,2.0,-4.197196
9,11.99316,3.0,-2.99772
87,11.295755,3.0,-2.7652519
94,12.195729,3.0,-3.065243
86,10.74237,3.0,-2.5807898
14,12.8911705,3.0,-3.297057
42,12.189745,3.0,-3.0632484
16,11.671837,3.0,-2.8906124
137,10.2477255,3.0,-2.4159086
34,10.777388,4.0,-1.6943469
113,11.249683,4.0,-1.8124208
6,14.371785,4.0,-2.5929463
91,1861.2117,1963.0,0.051853456
8,2056.9011,2042.0,-0.007297318
82,1973.8629,2057.0,0.04041667
115,2039.8317,2094.0,0.025868354
20,2156.6226,2126.0,-0.014403838
83,2188.2617,2139.0,-0.023030257
3,2089.7388,2153.0,0.029382829
17,2231.3577,2154.0,-0.035913493
2,2099.9395,2156.0,0.026002109
27,2159.6729,2181.0,0.00977861
124,2240.2202,2184.0,-0.025741857
21,2223.5098,2186.0,-0.017159088
72,2177.6875,2198.0,0.009241356
80,2268.8354,2198.0,-0.03222723
73,2111.8792,2199.0,0.039618395
1,2222.0278,2202.0,-0.009095292
96,2175.1372,2209.0,0.015329467
136,2172.6235,2218.0,0.02045828
79,2218.6665,2220.0,0.0006006739
120,2244.9126,2238.0,-0.003088739
74,2285.5059,2239.0,-0.020770816
47,2255.9238,2240.0,-0.007108852
126,2232.4014,2244.0,0.0051687313
55,2264.9956,2248.0,-0.0075603225
12,2281.3274,2251.0,-0.013472853
130,2282.628,2255.0,-0.012251854
114,2254.6636,2259.0,0.0019196218
92,2267.209,2260.0,-0.0031898161
28,2268.853,2261.0,-0.003473254
128,2224.8252,2264.0,0.017303359
64,2314.7988,2264.0,-0.022437645
61,2290.621,2268.0,-0.009974027
107,2254.0645,2269.0,0.0065824357
56,2250.0962,2289.0,0.016995985
134,2360.42,2295.0,-0.028505413
103,2300.0388,2300.0,-1.6877548e-05
104,2292.5317,2304.0,0.0049775443
110,2295.1245,2305.0,0.0042843767
122,2389.094,2305.0,-0.036483295
5,2330.9036,2305.0,-0.011237989
4,2251.9473,2308.0,0.02428628
40,2330.5208,2320.0,-0.004534807
57,2346.2637,2328.0,-0.00784522
138,2406.519,2337.0,-0.02974713
10,2338.7495,2341.0,0.0009613363
19,2395.3276,2352.0,-0.018421615
76,2416.6772,2361.0,-0.023582062
141,40323.805,40016.0,-0.0076920404
63,40310.53,40241.0,-0.0017278708
84,40575.75,40438.0,-0.0034064495
97,40573.72,40839.0,0.006495782
108,40503.723,40853.0,0.008549613
142,41123.297,41059.0,-0.001565963
43,40662.797,41070.0,0.0099148555
23,41047.33,41071.0,0.0005763647
58,41233.773,41129.0,-0.0025474345
116,41408.266,41173.0,-0.005714075
24,42049.42,41216.0,-0.020220833
102,41252.023,41309.0,0.0013792772
132,41382.953,41326.0,-0.0013781427
18,41369.883,41331.0,-0.0009407663
65,41294.66,41351.0,0.0013624784
81,41403.473,41383.0,-0.00049471174
15,41222.25,41404.0,0.0043896725
85,41347.7,41507.0,0.0038379256
105,41475.867,41531.0,0.0013275099
66,41320.04,41535.0,0.005175417
109,41583.008,41547.0,-0.0008666766
7,41385.734,41558.0,0.0041451855
51,41388.902,41607.0,0.00524185
29,41593.375,41613.0,0.00047160743
125,42074.95,41638.0,-0.010494001
75,41460.41,41664.0,0.004886469
41,41899.973,41692.0,-0.004988311
46,41676.746,41795.0,0.0028293792
45,41814.195,41800.0,-0.00033960078
121,42210.277,41863.0,-0.008295568
53,41811.668,41917.0,0.0025128715
38,41914.24,41995.0,0.001923127
37,42020.402,41996.0,-0.0005810635
78,42097.035,42044.0,-0.0012614203
101,42074.633,42048.0,-0.00063339074
52,42324.17,42116.0,-0.004942822
26,41946.91,42223.0,0.0065388493
90,42568.098,42386.0,-0.0042961747
71,42707.75,42878.0,0.0039705676
