,output,target,rel_error
71,106.24326,1.0,-105.24326
118,106.00557,1.0,-105.00557
115,106.371376,1.0,-105.371376
96,105.995605,1.0,-104.995605
27,106.2057,1.0,-105.2057
28,105.892044,1.0,-104.892044
29,105.99207,1.0,-104.99207
97,106.17316,1.0,-105.17316
31,106.556366,1.0,-105.556366
33,105.95423,1.0,-104.95423
54,105.93487,1.0,-104.93487
53,105.98643,1.0,-104.98643
52,106.07668,1.0,-105.07668
50,105.86503,1.0,-104.86503
49,105.98317,1.0,-104.98317
101,106.10387,1.0,-105.10387
111,106.09001,1.0,-105.09001
108,106.145805,1.0,-105.145805
105,105.95958,1.0,-104.95958
44,106.31065,1.0,-105.31065
45,106.06029,1.0,-105.06029
62,106.093796,1.0,-105.093796
92,106.07312,1.0,-105.07312
135,106.09656,1.0,-105.09656
1,106.08475,1.0,-105.08475
140,106.00908,1.0,-105.00908
139,106.20025,1.0,-105.20025
85,105.854675,1.0,-104.854675
69,106.44376,1.0,-105.44376
137,106.19354,1.0,-105.19354
132,106.04965,1.0,-105.04965
104,105.9882,1.0,-104.9882
131,106.04727,1.0,-105.04727
15,105.862114,1.0,-104.862114
126,106.09314,1.0,-105.09314
124,106.14456,1.0,-105.14456
18,105.90155,1.0,-104.90155
89,105.93111,1.0,-104.93111
12,105.94729,1.0,-104.94729
56,106.377075,2.0,-52.188538
91,106.21862,2.0,-52.10931
68,106.42702,2.0,-52.21351
87,106.60042,2.0,-52.30021
100,106.26907,2.0,-52.134537
84,106.85994,2.0,-52.42997
73,106.5772,2.0,-52.2886
64,106.51918,2.0,-52.25959
82,106.61152,2.0,-52.30576
32,106.43788,2.0,-52.21894
136,105.9689,2.0,-51.98445
20,106.54438,2.0,-52.27219
138,105.92141,2.0,-51.960705
114,106.172104,2.0,-52.086052
123,106.52945,2.0,-52.264725
113,106.44997,2.0,-52.224983
76,106.42442,2.0,-52.21221
57,106.89897,3.0,-34.63299
30,106.30606,3.0,-34.435352
26,106.520035,3.0,-34.50668
127,106.69997,3.0,-34.566654
40,107.01749,4.0,-25.754372
5,107.026695,4.0,-25.756674
23,107.72764,5.0,-20.545528
36,1653.7104,1997.0,0.17190263
22,1680.1215,2008.0,0.16328612
112,1676.8499,2047.0,0.18082567
38,1714.7811,2048.0,0.16270453
6,1763.2933,2080.0,0.15226282
75,1737.623,2101.0,0.17295429
93,1802.498,2123.0,0.15096654
86,1803.063,2125.0,0.15149976
66,1816.8865,2133.0,0.14820138
21,1832.064,2170.0,0.15573089
48,1884.4739,2182.0,0.13635477
98,1828.7397,2187.0,0.16381356
3,1838.5339,2195.0,0.16239911
35,1847.8485,2200.0,0.16006885
83,1895.559,2204.0,0.13994603
142,1902.9674,2212.0,0.13970733
133,1882.0864,2214.0,0.1499158
43,1893.2776,2216.0,0.14563286
46,1901.6478,2219.0,0.14301585
81,1907.4517,2220.0,0.14078754
130,1868.4641,2224.0,0.15986326
99,1922.4268,2236.0,0.14023848
74,1910.7266,2244.0,0.14851758
70,1902.8916,2250.0,0.1542704
24,1935.6255,2251.0,0.14010417
60,1943.325,2254.0,0.13783276
67,1940.374,2255.0,0.13952371
102,1953.0168,2257.0,0.1346846
121,1918.1498,2259.0,0.15088545
95,1894.6891,2262.0,0.16238324
58,1962.8186,2263.0,0.13264754
117,1866.0859,2269.0,0.17757341
125,1962.5107,2278.0,0.13849397
65,1939.4642,2281.0,0.14973071
63,1936.3512,2281.0,0.15109548
0,1927.5815,2291.0,0.15862875
59,1978.4207,2302.0,0.14056444
116,1981.0243,2321.0,0.14647812
129,2041.4102,2323.0,0.12121818
13,1974.6919,2331.0,0.15285634
141,2070.7715,2337.0,0.11391892
16,2030.2471,2343.0,0.13348396
34,2011.3223,2355.0,0.14593534
77,40019.305,39883.0,-0.0034176137
72,40457.79,39990.0,-0.011697651
47,40154.977,40621.0,0.011472476
107,40624.93,40682.0,0.0014028394
80,40985.133,40691.0,-0.007228449
88,40896.062,40801.0,-0.0023299062
94,40780.117,40857.0,0.0018817538
8,40825.445,40987.0,0.003941608
4,40769.652,40993.0,0.005448434
39,40991.47,41021.0,0.00071990566
120,41188.1,41113.0,-0.0018267109
2,41039.477,41224.0,0.004476117
10,41294.523,41267.0,-0.00066695997
17,41259.69,41299.0,0.000951805
61,41289.96,41355.0,0.0015727013
103,41267.727,41358.0,0.002182732
78,41680.83,41470.0,-0.005083871
128,41657.605,41596.0,-0.0014810431
37,41357.594,41628.0,0.006495778
79,41718.25,41691.0,-0.0006536183
119,41829.992,41699.0,-0.0031413748
51,42269.64,41701.0,-0.013636139
11,41938.984,41738.0,-0.004815381
25,41824.926,41799.0,-0.00062024884
42,41904.195,41819.0,-0.0020372393
14,41921.977,41877.0,-0.0010740159
7,41947.07,41892.0,-0.0013145782
19,42000.086,41902.0,-0.0023408413
109,42438.418,41969.0,-0.011184874
110,42041.812,41983.0,-0.0014008647
122,42081.1,42021.0,-0.0014302745
90,41855.45,42026.0,0.0040582204
55,42409.547,42030.0,-0.00903038
41,42254.805,42166.0,-0.0021060733
106,42362.4,42193.0,-0.004014847
134,42319.86,42195.0,-0.0029591036
9,42845.867,42629.0,-0.005087316
