,output,target,rel_error
39,-0.0028924942,1.0,1.0028925
103,0.12125409,1.0,0.8787459
43,-0.03517008,1.0,1.0351701
89,0.13149297,1.0,0.868507
115,-0.03809941,1.0,1.0380994
118,-0.047460437,1.0,1.0474604
119,0.21394837,1.0,0.78605163
82,-0.2263658,1.0,1.2263658
24,0.038395524,1.0,0.9616045
50,-0.17963874,1.0,1.1796387
100,0.23769581,1.0,0.7623042
132,0.2962277,1.0,0.7037723
135,0.33051777,1.0,0.66948223
46,0.47973418,1.0,0.5202658
151,-0.0025997162,1.0,1.0025997
4,-0.15738916,1.0,1.1573892
155,0.10139346,1.0,0.89860654
163,-0.088104844,1.0,1.0881048
168,0.15736568,1.0,0.8426343
129,-0.11341488,1.0,1.1134149
28,0.7185919,2.0,0.64070404
25,0.2216965,2.0,0.88915175
68,0.23040617,2.0,0.8847969
175,0.23189461,2.0,0.8840527
102,0.5317918,2.0,0.7341041
110,0.009899616,2.0,0.9950502
114,0.3826865,2.0,0.80865675
127,0.20328927,2.0,0.89835536
95,0.7671927,3.0,0.7442691
94,0.676381,3.0,0.77453965
111,0.45085728,3.0,0.8497143
84,0.5337981,3.0,0.82206726
120,0.36040497,3.0,0.879865
78,0.24358976,3.0,0.9188034
124,0.43716514,3.0,0.85427827
65,0.5165504,3.0,0.8278165
145,1.4336689,3.0,0.5221104
98,1.0643799,3.0,0.6452067
105,0.6293043,3.0,0.7902319
0,0.70679903,3.0,0.7644003
9,0.8357973,3.0,0.7214009
32,0.8590157,3.0,0.71366143
153,1.0375726,4.0,0.74060684
123,1.0905783,4.0,0.7273554
12,0.9232664,4.0,0.7691834
130,0.8505933,4.0,0.78735167
109,0.4277835,4.0,0.8930541
21,0.88709855,4.0,0.77822536
139,1.0957444,4.0,0.7260639
29,0.54774976,4.0,0.86306256
70,0.6719928,4.0,0.8320018
58,0.9921534,4.0,0.75196165
56,1.1364322,4.0,0.71589196
1,0.6862447,4.0,0.8284388
10,1.8176879,4.0,0.545578
49,1.1549325,4.0,0.7112669
35,0.44312644,4.0,0.8892184
133,1.4124336,5.0,0.71751326
147,1.2316079,5.0,0.75367844
150,1.5279528,5.0,0.6944095
5,1.1560405,5.0,0.76879185
128,1.164039,5.0,0.7671922
136,1.4549643,6.0,0.75750595
7,1.6361464,6.0,0.7273089
134,2.9601097,6.0,0.50664836
80,1.4117391,6.0,0.7647101
45,1.9961885,6.0,0.6673019
143,2.2170217,6.0,0.6304964
73,1.4081001,6.0,0.76531667
36,1.9230539,6.0,0.67949104
22,1.5806644,6.0,0.7365559
14,2.4128783,6.0,0.5978536
92,1.9959333,6.0,0.6673444
57,1.6215626,6.0,0.7297396
167,1.4349519,6.0,0.76084137
47,1.5655303,6.0,0.7390783
64,1.7774899,6.0,0.70375174
131,1.1356902,6.0,0.8107183
51,2.5387676,7.0,0.6373189
166,2.4992104,7.0,0.64296997
37,3.2090242,7.0,0.541568
16,1.7604158,7.0,0.74851197
34,1.5441284,7.0,0.77941024
18,2.806511,7.0,0.5990699
17,1.8793125,7.0,0.7315268
75,2.3531058,7.0,0.6638421
172,2.1984124,7.0,0.6859411
116,2.6024325,7.0,0.62822396
33,2.044227,7.0,0.70796764
108,2.1345096,7.0,0.6950701
72,2.130526,7.0,0.69563913
170,3.3538566,8.0,0.5807679
41,2.2792614,8.0,0.7150923
122,2.348629,8.0,0.7064214
142,2.651868,8.0,0.6685165
87,2.7598464,8.0,0.65501916
77,2.8734598,8.0,0.6408175
79,2.0263298,8.0,0.74670875
42,2.3124268,9.0,0.7430637
74,3.9640267,9.0,0.5595526
156,3.392659,9.0,0.6230379
27,2.2869291,9.0,0.74589676
30,2.6418934,9.0,0.7064563
149,2.958374,9.0,0.67129177
6,3.5513508,9.0,0.6054055
140,3.3052652,9.0,0.6327483
38,3.2995248,10.0,0.6700475
154,3.2386155,10.0,0.67613846
48,3.8420494,11.0,0.65072274
101,3.2606268,11.0,0.70357937
165,4.047147,11.0,0.6320776
88,3.0583177,12.0,0.74514025
171,4.019163,12.0,0.66506976
121,4.183034,12.0,0.65141386
8,4.7358613,12.0,0.6053449
71,4.472127,12.0,0.62732273
104,5.2893243,12.0,0.559223
164,4.2358813,12.0,0.6470099
141,4.392168,13.0,0.6621409
169,4.6841884,13.0,0.63967776
2,5.961931,14.0,0.57414776
97,4.6303363,14.0,0.66926163
60,4.9754596,14.0,0.64461
160,5.876262,14.0,0.58026695
91,5.3755503,15.0,0.64163
66,5.8955235,15.0,0.6069651
40,5.1376047,16.0,0.6788997
54,4.614359,16.0,0.71160257
69,5.9734025,16.0,0.6266624
85,6.3173876,16.0,0.6051633
76,4.779233,16.0,0.70129794
99,5.783444,16.0,0.6385348
55,5.60403,16.0,0.6497481
152,6.330702,17.0,0.6276058
96,6.7336283,17.0,0.60390425
86,6.6691093,17.0,0.60769945
112,7.245801,17.0,0.5737764
113,6.150939,17.0,0.6381801
44,5.1062527,17.0,0.69963217
117,6.2737255,18.0,0.6514597
107,7.33014,18.0,0.59277
138,6.0209775,19.0,0.6831065
31,7.2033024,20.0,0.6398349
19,7.1274595,20.0,0.64362705
3,8.173427,21.0,0.6107892
23,7.346204,21.0,0.65018076
93,8.482729,21.0,0.5960605
90,7.5792685,21.0,0.63908243
159,8.736132,22.0,0.6029031
161,8.754974,22.0,0.6020466
13,7.729234,22.0,0.64867115
26,7.499486,23.0,0.6739354
53,9.139891,23.0,0.60261345
144,7.8543034,23.0,0.65850854
20,9.1385765,24.0,0.619226
59,7.4644165,25.0,0.70142335
52,9.7250185,25.0,0.6109993
148,8.889145,25.0,0.6444342
157,9.228057,26.0,0.6450747
61,11.8899555,32.0,0.6284389
63,12.509389,32.0,0.6090816
137,14.734095,39.0,0.6222027
125,16.657309,40.0,0.58356726
62,15.39315,41.0,0.6245573
67,16.922518,44.0,0.61539733
162,18.161299,44.0,0.5872432
173,17.90863,48.0,0.62690353
146,26.028526,62.0,0.58018506
158,27.533958,66.0,0.5828188
81,26.306114,71.0,0.6294913
174,25.93616,71.0,0.634702
126,23.038347,72.0,0.68002295
11,28.563316,74.0,0.61400926
15,30.789,85.0,0.63777643
106,41.00238,99.0,0.58583456
83,41.480347,106.0,0.60867596
