,output,target,rel_error
289,25.828766,1.0,-24.828766
341,25.060791,1.0,-24.060791
463,25.173803,1.0,-24.173803
38,24.931534,1.0,-23.931534
415,25.00703,1.0,-24.00703
393,25.640907,1.0,-24.640907
457,25.23371,1.0,-24.23371
343,25.845364,1.0,-24.845364
153,25.285534,1.0,-24.285534
348,24.52423,1.0,-23.52423
269,25.17014,1.0,-24.17014
249,24.752815,1.0,-23.752815
350,26.053478,1.0,-25.053478
250,25.577377,1.0,-24.577377
359,24.78121,1.0,-23.78121
366,25.552423,1.0,-24.552423
441,26.197897,1.0,-25.197897
367,24.774786,1.0,-23.774786
173,26.167477,1.0,-25.167477
66,25.876005,1.0,-24.876005
145,25.496382,1.0,-24.496382
277,24.398695,1.0,-23.398695
260,25.171797,1.0,-24.171797
62,25.430279,1.0,-24.430279
196,24.774096,1.0,-23.774096
61,25.660593,1.0,-24.660593
278,26.483315,1.0,-25.483315
436,25.253582,1.0,-24.253582
258,25.580595,1.0,-24.580595
254,24.341595,1.0,-23.341595
98,24.316132,1.0,-23.316132
371,25.695744,1.0,-24.695744
434,25.476921,1.0,-24.476921
385,24.401693,1.0,-23.401693
339,25.175968,1.0,-24.175968
32,25.789297,1.0,-24.789297
504,25.784962,1.0,-24.784962
268,26.087427,1.0,-25.087427
314,25.711487,1.0,-24.711487
211,25.478432,1.0,-24.478432
499,25.007286,1.0,-24.007286
319,25.438662,1.0,-24.438662
147,25.398571,1.0,-24.398571
325,24.791464,1.0,-23.791464
300,24.947628,1.0,-23.947628
10,25.126532,1.0,-24.126532
399,25.949007,1.0,-24.949007
488,25.22967,1.0,-24.22967
486,25.23671,1.0,-24.23671
485,24.73286,1.0,-23.73286
337,25.042362,1.0,-24.042362
484,25.38014,1.0,-24.38014
481,24.302082,1.0,-23.302082
412,25.343029,1.0,-24.343029
30,26.176788,1.0,-25.176788
198,26.104877,1.0,-25.104877
167,24.78728,1.0,-23.78728
392,24.334044,1.0,-23.334044
126,25.25879,1.0,-24.25879
333,26.245312,1.0,-25.245312
240,24.915194,1.0,-23.915194
295,26.378532,1.0,-25.378532
297,24.753588,1.0,-23.753588
233,24.476145,1.0,-23.476145
130,25.110443,1.0,-24.110443
479,25.228664,1.0,-24.228664
232,24.634024,1.0,-23.634024
16,25.124409,1.0,-24.124409
