,output,target,rel_error
32,12.959209,78.0,0.8338562
91,10.304779,87.0,0.88155425
60,12.576889,87.0,0.85543805
113,10.362215,90.0,0.8848643
128,10.901643,114.0,0.90437156
63,15.846007,114.0,0.86099994
145,32.49227,144.0,0.7743592
92,24.17007,155.0,0.84406406
176,30.824379,161.0,0.8085443
65,53.482414,203.0,0.7365398
55,30.986195,215.0,0.8558782
71,41.991577,226.0,0.8141966
12,37.82207,234.0,0.8383672
33,65.44287,247.0,0.7350491
140,54.60811,252.0,0.7833012
171,88.11934,284.0,0.68972063
47,65.00109,285.0,0.771926
79,63.313393,301.0,0.7896565
150,61.805645,301.0,0.79466563
120,61.35728,307.0,0.8001391
41,81.21126,320.0,0.7462148
122,74.80826,343.0,0.7819001
96,51.12291,344.0,0.85138685
132,120.063835,346.0,0.6529947
95,92.883354,362.0,0.74341613
57,78.56497,369.0,0.7870868
40,89.86983,371.0,0.7577633
116,106.4787,373.0,0.71453434
147,100.24959,379.0,0.73548925
76,71.311295,381.0,0.8128313
99,108.19745,383.0,0.71750015
175,114.624855,387.0,0.70381176
46,90.70281,394.0,0.7697898
133,167.87051,403.0,0.5834479
103,85.05716,403.0,0.7889401
139,123.12405,433.0,0.71564883
129,136.2941,467.0,0.7081497
111,151.1312,470.0,0.67844427
30,201.02046,489.0,0.5889152
170,133.00899,490.0,0.7285531
42,175.83084,500.0,0.6483383
54,179.69554,504.0,0.64346117
118,196.04587,510.0,0.61559635
67,163.55647,515.0,0.68241465
141,207.78671,522.0,0.60194117
13,131.68295,536.0,0.7543228
56,196.71057,548.0,0.64103913
31,146.02777,555.0,0.7368869
165,271.02554,567.0,0.5220008
18,383.8683,569.0,0.32536328
69,212.9811,582.0,0.6340531
102,235.49838,591.0,0.6015256
121,155.92188,605.0,0.7422779
158,203.3882,609.0,0.6660293
138,294.51355,610.0,0.5171909
119,336.39136,627.0,0.46349066
48,269.22717,632.0,0.57400763
88,366.02167,639.0,0.42719615
14,212.73132,650.0,0.672721
36,183.16,671.0,0.7270343
107,240.98251,673.0,0.6419279
153,285.68,675.0,0.57677037
23,301.19373,679.0,0.55641574
66,279.1015,683.0,0.59135944
146,315.17386,693.0,0.5452037
166,225.14554,699.0,0.67790335
6,413.51843,703.0,0.41178033
43,279.18182,706.0,0.60455835
7,437.88898,724.0,0.39518097
142,253.64456,746.0,0.6599939
38,327.88647,748.0,0.5616491
149,335.36932,749.0,0.5522439
85,497.9682,755.0,0.34043947
75,310.71118,758.0,0.5900908
22,348.51495,759.0,0.5408235
29,524.3756,803.0,0.34697932
28,558.2274,806.0,0.30741015
45,369.02588,806.0,0.5421515
179,462.9669,814.0,0.4312446
151,439.78705,821.0,0.4643276
51,589.33655,840.0,0.29840887
26,689.33105,866.0,0.2040057
106,630.64124,868.0,0.2734548
72,501.91428,880.0,0.42964286
101,506.50336,894.0,0.43344143
1,474.25684,895.0,0.4701041
127,516.65796,901.0,0.42657274
114,580.50354,910.0,0.36208403
24,574.651,921.0,0.37605754
86,770.8976,927.0,0.16839527
104,519.7798,941.0,0.4476304
168,487.8841,960.0,0.4917874
62,761.4015,971.0,0.2158584
162,665.6968,978.0,0.31932846
164,730.33264,989.0,0.26154435
161,728.4562,993.0,0.26640868
125,581.88934,997.0,0.41635972
10,937.37964,1002.0,0.06449138
130,594.6032,1005.0,0.40835503
90,696.9104,1008.0,0.30862063
135,658.93506,1009.0,0.34694245
172,829.41425,1009.0,0.1779839
52,827.6234,1010.0,0.18057089
27,880.7805,1025.0,0.14070193
59,525.2554,1032.0,0.49103162
98,596.9912,1037.0,0.42430934
117,863.7312,1056.0,0.18207273
16,773.08826,1059.0,0.26998276
110,664.4155,1077.0,0.3830868
3,621.3081,1084.0,0.42683753
73,616.2707,1085.0,0.4320086
74,906.66486,1093.0,0.17048046
157,844.56775,1129.0,0.25193292
50,1017.09564,1231.0,0.1737647
131,787.7308,1233.0,0.3611267
180,1142.9998,1249.0,0.08486809
83,1144.4242,1254.0,0.08738103
123,981.56726,1255.0,0.21787469
167,1300.5647,1298.0,-0.001975884
84,1283.6846,1300.0,0.012550331
81,1247.4707,1304.0,0.04335069
169,775.5576,1309.0,0.407519
115,1043.386,1322.0,0.2107519
78,1280.9816,1332.0,0.038302127
44,1349.2959,1348.0,-0.000961349
20,901.64325,1349.0,0.33162102
37,1182.9684,1382.0,0.14401709
94,1421.3951,1408.0,-0.009513595
64,1255.489,1409.0,0.10895031
155,1347.9875,1420.0,0.050712995
112,1390.8164,1420.0,0.020551827
124,1230.2788,1436.0,0.14325988
152,1371.6769,1445.0,0.050742645
9,1452.689,1473.0,0.01378889
160,1384.6921,1516.0,0.08661468
137,1517.2479,1524.0,0.0044304957
178,1484.202,1526.0,0.027390547
97,1507.077,1547.0,0.025806706
11,1605.9258,1593.0,-0.008114113
173,1517.364,1607.0,0.055778462
89,1619.898,1631.0,0.006806898
53,1490.71,1631.0,0.08601474
2,1656.4896,1642.0,-0.008824375
134,1344.459,1646.0,0.18319625
108,1593.4698,1657.0,0.038340464
5,1514.8807,1687.0,0.10202683
19,1743.7805,1689.0,-0.0324337
58,1616.1396,1694.0,0.045962427
35,1826.2124,1695.0,-0.07741145
154,1821.0569,1700.0,-0.07120993
15,1710.253,1720.0,0.0056668306
49,1540.0244,1730.0,0.109812476
163,1793.7914,1735.0,-0.033885524
144,1877.4468,1776.0,-0.057120934
100,1615.976,1776.0,0.09010363
174,1788.9906,1836.0,0.025604248
82,1577.2311,1857.0,0.15065639
159,1864.4778,1863.0,-0.0007932277
70,1899.4109,1873.0,-0.014100848
17,1881.0068,1878.0,-0.0016010841
80,2054.0972,1953.0,-0.051765062
39,1993.9873,1958.0,-0.018379625
143,1913.1047,1965.0,0.026409803
156,2022.5583,1967.0,-0.028245222
61,1973.2118,1987.0,0.006939209
136,1973.2919,1993.0,0.009888675
8,2206.4995,2102.0,-0.049714327
177,2319.0586,2239.0,-0.035756405
68,2266.1553,2250.0,-0.0071801217
77,2360.9143,2308.0,-0.022926476
148,2642.148,2392.0,-0.1045769
87,2488.557,2402.0,-0.03603534
105,2662.542,2463.0,-0.08101583
93,2876.281,2584.0,-0.113111846
25,2754.7021,2616.0,-0.053020697
109,3108.2969,2758.0,-0.1270112
0,3078.98,2858.0,-0.0773198
34,3177.8008,2869.0,-0.10763359
21,3389.8962,3046.0,-0.112900935
126,3700.0928,3440.0,-0.075608365
4,3855.8652,3545.0,-0.08769118
