,output,target,rel_error
18,2.4598792,1.0,-1.4598792
99,2.4317427,1.0,-1.4317427
130,2.317229,1.0,-1.317229
22,2.496965,1.0,-1.4969649
53,2.479213,1.0,-1.479213
51,2.247159,1.0,-1.247159
107,2.505828,1.0,-1.5058279
131,2.4742794,1.0,-1.4742794
108,2.4242065,1.0,-1.4242065
43,2.4385247,1.0,-1.4385247
110,2.3252242,1.0,-1.3252242
113,2.4095416,1.0,-1.4095416
122,2.452462,1.0,-1.452462
77,2.1895747,1.0,-1.1895747
35,2.4539657,1.0,-1.4539657
44,2.4785137,1.0,-1.4785137
120,2.370134,1.0,-1.3701341
37,2.430684,1.0,-1.4306841
16,2.398267,1.0,-1.398267
87,2.555157,1.0,-1.555157
2,2.3658228,1.0,-1.3658228
4,2.4205203,1.0,-1.4205203
67,2.262154,1.0,-1.2621541
66,2.477719,1.0,-1.4777191
96,2.4102461,1.0,-1.4102461
94,2.531708,1.0,-1.531708
97,2.2839224,1.0,-1.2839224
12,2.4720273,1.0,-1.4720273
14,2.5258853,1.0,-1.5258853
15,2.2477787,1.0,-1.2477787
134,2.29733,1.0,-1.2973299
103,2.6194785,2.0,-0.30973923
58,2.4038057,2.0,-0.20190287
64,2.6243956,2.0,-0.3121978
59,2.6225197,2.0,-0.31125987
70,2.5825906,2.0,-0.2912953
119,2.6991477,2.0,-0.34957385
0,2.6409864,2.0,-0.32049322
79,2.4099343,2.0,-0.20496714
5,2.5840924,2.0,-0.2920462
8,2.7022104,2.0,-0.3511052
30,2.7351093,2.0,-0.36755466
1,2.7146864,2.0,-0.3573432
127,2.4338813,2.0,-0.21694064
25,2.4957166,2.0,-0.24785829
11,2.7179887,2.0,-0.35899436
125,2.5038729,2.0,-0.25193644
121,2.6350484,3.0,0.12165054
135,3.0025308,3.0,-0.0008436044
109,2.8611078,3.0,0.04629739
81,2.630954,3.0,0.12301532
54,2.880511,4.0,0.27987224
48,1973.928,2035.0,0.030010821
116,2060.064,2065.0,0.0023903318
90,2068.3218,2084.0,0.0075231395
92,2051.9856,2094.0,0.020064186
80,2068.7837,2129.0,0.028283846
138,2143.5046,2139.0,-0.0021059555
140,2152.7778,2143.0,-0.0045626843
88,2140.3105,2167.0,0.0123163145
100,2111.541,2172.0,0.027835628
3,2184.0327,2175.0,-0.0041529723
17,2130.3774,2175.0,0.020516118
13,2128.801,2181.0,0.023933506
33,2134.8945,2184.0,0.022484189
101,2137.0547,2190.0,0.024175942
45,2195.588,2195.0,-0.00026783173
50,2186.9004,2199.0,0.0055023236
20,2245.4333,2218.0,-0.012368508
31,2202.9788,2219.0,0.007220027
91,2234.3748,2220.0,-0.006475115
83,2200.3967,2227.0,0.011945789
141,2249.6606,2231.0,-0.008364251
126,2257.811,2233.0,-0.011111077
27,2276.7588,2238.0,-0.017318495
29,2262.4211,2240.0,-0.010009439
61,2316.592,2243.0,-0.03280965
115,2263.9202,2255.0,-0.003955728
28,2242.5989,2257.0,0.0063806484
142,2209.5947,2269.0,0.026181258
132,2249.646,2271.0,0.009402908
124,2339.2869,2274.0,-0.028710144
9,2346.1274,2288.0,-0.025405351
46,2255.0159,2290.0,0.015276913
68,2343.7295,2301.0,-0.018569967
76,2318.824,2323.0,0.0017976863
39,2428.2202,2329.0,-0.042602066
62,2381.8613,2341.0,-0.017454647
75,2345.3743,2342.0,-0.0014407632
65,2386.8687,2342.0,-0.019158263
32,2387.8022,2356.0,-0.013498407
42,39877.03,39706.0,-0.004307441
49,40566.105,40238.0,-0.008154119
118,40733.156,40795.0,0.0015159639
73,40763.47,40970.0,0.0050410363
71,40847.613,41027.0,0.0043724063
24,41104.273,41071.0,-0.0008101443
40,41218.22,41129.0,-0.002169242
85,41254.586,41177.0,-0.0018842057
10,41214.043,41223.0,0.00021728237
136,41192.566,41241.0,0.0011744039
78,41106.906,41249.0,0.0034447806
105,41114.656,41275.0,0.0038847667
21,41241.75,41283.0,0.0009992006
137,41203.305,41283.0,0.0019304632
19,41273.97,41292.0,0.0004366766
129,41212.93,41294.0,0.0019632468
69,41313.11,41301.0,-0.0002931981
47,41301.188,41349.0,0.0011563158
72,41394.688,41351.0,-0.0010565041
95,41410.617,41355.0,-0.0013448722
23,41360.062,41389.0,0.0006991592
111,41283.977,41427.0,0.003452421
6,41338.64,41462.0,0.0029752394
82,41551.48,41473.0,-0.0018923267
34,41277.46,41533.0,0.0061526755
63,41318.516,41534.0,0.0051881443
106,41561.207,41549.0,-0.00029379842
128,41638.477,41596.0,-0.0010211694
98,41579.234,41625.0,0.0010994745
114,42103.41,41638.0,-0.011177534
84,41529.816,41663.0,0.0031966877
55,41699.67,41694.0,-0.00013603576
56,41823.227,41722.0,-0.0024262154
86,41569.61,41787.0,0.0052023507
26,41794.43,41799.0,0.00010934024
60,41866.406,41819.0,-0.0011336055
117,41996.492,41822.0,-0.0041722585
139,41714.055,41897.0,0.004366549
7,42188.582,41899.0,-0.0069114305
133,41868.46,41919.0,0.0012056362
74,41894.45,41989.0,0.0022517988
52,41959.832,41999.0,0.0009325929
123,41924.58,42043.0,0.0028166848
36,41925.453,42069.0,0.003412177
41,41866.22,42095.0,0.0054348796
104,42302.83,42104.0,-0.0047223098
93,42165.285,42110.0,-0.0013128747
57,42275.945,42119.0,-0.0037262356
112,42228.03,42193.0,-0.00083026214
38,42445.78,42281.0,-0.0038972883
102,42237.508,42313.0,0.001784137
89,42370.293,42471.0,0.0023711952
