,output,target,rel_error
165,249.13338,36.0,-5.9203715
70,251.1575,87.0,-1.8868679
77,251.66824,97.0,-1.594518
48,275.42828,114.0,-1.4160376
128,290.64117,117.0,-1.4841126
81,264.8761,130.0,-1.0375085
166,258.20782,137.0,-0.88472867
149,286.65494,143.0,-1.00458
67,267.00073,145.0,-0.84138435
161,266.72443,153.0,-0.7432969
1,278.489,155.0,-0.79670334
156,277.25116,161.0,-0.72205687
40,302.90155,169.0,-0.79231685
41,258.85843,197.0,-0.3140022
25,311.2506,211.0,-0.47512138
83,310.95844,220.0,-0.41344744
95,348.79926,221.0,-0.5782772
18,331.8197,229.0,-0.44899434
42,358.75586,247.0,-0.45245287
12,295.52203,269.0,-0.09859492
119,326.55603,288.0,-0.1338751
126,316.04706,294.0,-0.07499
111,321.05975,297.0,-0.08100927
0,337.31296,301.0,-0.12064105
16,330.46692,301.0,-0.09789674
63,434.76315,301.0,-0.44439587
75,335.2706,304.0,-0.10286381
57,326.8136,311.0,-0.050847583
172,408.68903,318.0,-0.2851856
32,358.9853,326.0,-0.10118187
163,414.40997,338.0,-0.22606501
113,339.56842,339.0,-0.0016767564
62,368.45557,342.0,-0.07735546
46,401.4154,344.0,-0.16690525
116,402.89508,352.0,-0.14458829
171,444.3918,360.0,-0.23442172
29,400.64966,367.0,-0.09168844
120,380.5445,410.0,0.07184269
164,448.0653,433.0,-0.03479286
55,477.04465,435.0,-0.09665436
38,416.85498,439.0,0.050444234
155,400.04077,445.0,0.101031974
107,426.20172,453.0,0.05915735
89,484.41492,462.0,-0.048517138
170,476.74265,466.0,-0.023052886
144,426.5947,479.0,0.109405644
122,547.989,493.0,-0.11153958
24,445.37512,499.0,0.107464686
26,578.67706,500.0,-0.15735413
103,484.28656,503.0,0.03720366
51,502.0392,507.0,0.009784586
66,517.80914,507.0,-0.021319808
137,469.3974,526.0,0.1076095
79,678.1376,531.0,-0.27709523
2,493.16046,535.0,0.07820474
11,513.9446,540.0,0.048250776
133,638.28845,544.0,-0.17332436
97,497.44208,555.0,0.10370797
94,557.5043,566.0,0.015010119
54,566.4175,577.0,0.018340588
36,606.4734,593.0,-0.022720722
84,586.9033,616.0,0.04723487
52,568.235,623.0,0.08790532
45,505.73376,643.0,0.21347782
152,665.2274,644.0,-0.032961827
5,657.792,648.0,-0.015111099
178,603.1642,659.0,0.0847281
100,685.8906,660.0,-0.03922822
101,601.8199,663.0,0.0922777
118,652.0718,673.0,0.031096913
145,618.84485,675.0,0.08319282
162,688.95624,679.0,-0.01466309
19,741.21234,679.0,-0.09162348
49,732.00604,681.0,-0.07489874
109,614.79755,698.0,0.11920122
14,644.93176,699.0,0.07735084
93,760.1211,722.0,-0.0527993
80,686.152,730.0,0.060065784
153,840.2838,731.0,-0.14949906
74,745.57635,740.0,-0.007535615
69,751.411,748.0,-0.004560175
50,737.6432,749.0,0.015162632
114,843.42206,757.0,-0.11416388
142,689.85815,761.0,0.093484685
76,742.719,775.0,0.04165291
56,860.704,821.0,-0.04836051
123,782.9657,824.0,0.04979891
68,895.3911,826.0,-0.08400861
167,732.36426,827.0,0.11443258
176,810.99634,842.0,0.03682145
139,794.58997,843.0,0.0574259
3,872.845,856.0,-0.019678704
6,837.83746,880.0,0.04791197
43,885.031,894.0,0.010032432
21,1001.80023,901.0,-0.11187595
108,948.3706,926.0,-0.024158321
146,850.6459,941.0,0.09601926
58,752.0132,943.0,0.20253108
61,912.385,945.0,0.034513216
174,1090.8389,958.0,-0.1386627
82,903.2742,976.0,0.07451417
31,1010.269,978.0,-0.03299487
23,1010.0532,981.0,-0.029615926
78,1030.1487,989.0,-0.04160635
158,995.1507,994.0,-0.0011576416
105,931.2223,996.0,0.06503786
121,889.1273,997.0,0.10819727
115,924.21106,1005.0,0.080387
154,1139.3057,1009.0,-0.12914337
22,824.5349,1014.0,0.18684919
64,924.3921,1019.0,0.092843875
44,861.8014,1021.0,0.1559242
10,1141.5748,1026.0,-0.112646036
179,1021.6503,1040.0,0.017643914
129,951.6243,1042.0,0.08673289
141,1021.60254,1079.0,0.05319505
86,1016.23016,1084.0,0.0625183
73,1096.6674,1086.0,-0.009822614
135,1161.5209,1093.0,-0.062690645
47,1062.4116,1108.0,0.041144747
35,1054.8047,1113.0,0.052286893
173,880.2834,1136.0,0.22510265
87,1189.9897,1148.0,-0.036576435
39,1067.9265,1153.0,0.07378446
9,1153.4005,1167.0,0.011653374
159,1229.1776,1176.0,-0.045219056
30,1247.8035,1222.0,-0.021115767
15,1470.6785,1243.0,-0.18316852
33,1229.6055,1246.0,0.01315773
136,1221.484,1254.0,0.025929818
175,1265.2574,1271.0,0.0045181382
37,1313.8789,1307.0,-0.0052631265
96,1487.4495,1369.0,-0.08652262
99,1413.6497,1418.0,0.003067942
104,1273.0637,1436.0,0.113465376
157,1428.0487,1504.0,0.050499532
7,1534.7935,1516.0,-0.01239674
138,1537.649,1540.0,0.0015265923
130,1440.169,1542.0,0.066038296
102,1698.1093,1619.0,-0.048863035
150,1517.4337,1631.0,0.06962985
60,1456.9829,1641.0,0.11213717
4,1440.356,1646.0,0.12493563
143,1713.971,1666.0,-0.028794086
127,1752.3779,1700.0,-0.030810546
124,1741.1982,1705.0,-0.02123064
110,1782.9221,1718.0,-0.03778936
34,1672.0183,1744.0,0.041273903
168,1678.4893,1763.0,0.047935758
71,1851.506,1769.0,-0.0466399
131,1783.2357,1776.0,-0.0040741656
8,1843.376,1793.0,-0.028095916
13,1535.7993,1816.0,0.15429553
91,1854.6584,1857.0,0.0012609331
28,1970.9076,1902.0,-0.036229018
59,2013.0796,1903.0,-0.05784529
85,2023.9777,1953.0,-0.03634289
117,2091.6157,1957.0,-0.06878678
147,1945.782,1958.0,0.00624005
27,1949.8185,1983.0,0.016732989
134,1977.0614,1985.0,0.0039992942
88,1937.3503,1993.0,0.027922558
140,1889.198,2000.0,0.055401
125,1968.1168,2087.0,0.05696367
90,2096.7056,2110.0,0.0063006794
132,1934.9854,2119.0,0.086840324
17,2177.7104,2150.0,-0.0128885815
160,2026.2097,2215.0,0.08523263
169,2256.7954,2216.0,-0.018409481
106,2314.874,2259.0,-0.024733964
65,2315.181,2266.0,-0.021703843
20,2377.9531,2452.0,0.030198563
148,2453.3901,2467.0,0.0055167666
177,2478.1697,2505.0,0.010710708
98,2508.3142,2616.0,0.041164294
112,2621.3948,2631.0,0.0036507885
53,2693.2332,2728.0,0.012744445
92,2860.129,2758.0,-0.03703006
72,2708.2517,2977.0,0.09027487
151,3402.2917,3545.0,0.040256206
