,output,target,rel_error
38,911.7943,39.0,-22.379341
125,913.59375,65.0,-13.055288
16,919.4167,95.0,-8.67807
149,924.83514,127.0,-6.2821665
32,920.6434,135.0,-5.8195806
71,921.74225,162.0,-4.689767
84,928.96716,164.0,-4.664434
158,929.7332,172.0,-4.4054255
23,932.1173,176.0,-4.296121
99,924.1985,177.0,-4.2214603
100,929.67896,178.0,-4.2229156
120,936.6816,201.0,-3.6601074
9,933.3331,225.0,-3.1481473
25,928.92896,235.0,-2.9528892
55,928.27405,236.0,-2.9333646
88,940.75385,243.0,-2.871415
29,941.91907,247.0,-2.8134375
47,933.9557,266.0,-2.5111115
90,939.2184,288.0,-2.261175
92,932.21484,294.0,-2.1707988
163,938.8985,301.0,-2.1192641
34,940.3839,301.0,-2.1241992
127,946.26904,318.0,-1.9756888
42,948.6564,330.0,-1.8747163
103,940.479,339.0,-1.7742743
162,950.20337,339.0,-1.8029598
1,943.93555,342.0,-1.7600454
161,953.67676,344.0,-1.7723161
112,954.3895,348.0,-1.7424986
59,952.578,352.0,-1.7061875
174,951.083,355.0,-1.6791071
107,954.7427,363.0,-1.6301451
85,958.22455,371.0,-1.5828155
91,942.1998,373.0,-1.5260049
62,957.1903,387.0,-1.47336
12,959.8363,390.0,-1.4611187
178,952.8539,402.0,-1.3702832
41,948.6299,420.0,-1.2586426
36,958.3962,432.0,-1.2185097
56,960.78015,441.0,-1.1786398
119,967.5862,484.0,-0.99914503
35,967.3483,486.0,-0.9904287
63,964.4518,488.0,-0.97633564
167,962.3645,490.0,-0.96400917
53,963.90656,493.0,-0.9551857
144,962.77454,498.0,-0.9332822
50,963.95154,500.0,-0.92790306
6,963.9824,515.0,-0.87181056
159,960.98285,530.0,-0.8131752
5,988.1627,531.0,-0.8609467
17,967.10876,535.0,-0.80767995
67,975.70557,545.0,-0.79028547
57,967.64514,553.0,-0.7498104
65,962.5742,555.0,-0.73436797
101,965.01965,555.0,-0.7387741
21,970.1518,562.0,-0.72624874
64,985.4364,567.0,-0.73798305
78,982.26733,609.0,-0.61291844
94,976.5879,623.0,-0.5675568
48,983.939,627.0,-0.56928074
8,988.1564,627.0,-0.57600695
40,975.17444,632.0,-0.54299754
10,979.6873,637.0,-0.53797066
69,983.02124,660.0,-0.48942614
160,979.322,661.0,-0.48157644
79,968.9313,671.0,-0.44401085
171,978.6625,673.0,-0.45417902
134,995.1642,679.0,-0.46563208
175,997.555,692.0,-0.44155344
168,984.011,693.0,-0.41992927
45,991.43054,697.0,-0.42242545
83,999.1183,702.0,-0.42324543
3,998.24963,703.0,-0.41998526
111,997.28107,718.0,-0.38897085
124,1002.651,721.0,-0.3906394
139,991.77673,729.0,-0.36046192
61,1002.02783,740.0,-0.35409167
172,1001.13385,748.0,-0.33841425
117,992.5211,758.0,-0.30939463
150,993.6122,761.0,-0.30566648
39,1020.1517,771.0,-0.3231539
131,1017.0641,775.0,-0.31234077
97,1017.3631,783.0,-0.2993143
80,1012.9681,799.0,-0.26779485
176,1010.7523,815.0,-0.2401869
82,1014.1914,826.0,-0.22783463
142,1012.5141,832.0,-0.21696407
166,1020.072,837.0,-0.21872404
13,1003.2075,840.0,-0.19429466
116,1011.2208,858.0,-0.17857905
28,1007.32007,867.0,-0.16184552
31,1020.9521,869.0,-0.17485856
86,1018.6447,872.0,-0.16817054
141,1018.4739,885.0,-0.15081795
33,1031.615,896.0,-0.15135601
106,1018.7848,901.0,-0.13072674
44,1027.6853,912.0,-0.12684792
136,1016.7448,913.0,-0.11363068
179,1010.67126,913.0,-0.10697839
140,1021.4955,936.0,-0.09134133
115,1043.9022,970.0,-0.07618786
46,1039.6885,977.0,-0.06416425
104,1034.6973,978.0,-0.057972666
128,1044.0552,993.0,-0.051415082
114,1030.0477,996.0,-0.034184467
137,1054.8138,1002.0,-0.052708425
0,1042.1921,1010.0,-0.031873405
19,1011.53217,1014.0,0.0024337617
66,1039.122,1027.0,-0.01180326
20,1042.0173,1040.0,-0.0019397442
105,1029.3129,1085.0,0.051324546
145,1065.9365,1093.0,0.024760729
135,1060.3035,1148.0,0.076390706
75,1061.2422,1167.0,0.09062366
122,1053.2291,1171.0,0.10057291
177,1056.361,1192.0,0.11379114
27,1066.1146,1209.0,0.11818476
102,1067.503,1218.0,0.12356071
109,1069.2998,1222.0,0.124959245
133,1059.1965,1231.0,0.13956414
58,1093.2915,1300.0,0.15900654
98,1070.1426,1304.0,0.17933851
74,1084.8412,1332.0,0.18555467
76,1083.4255,1348.0,0.19627185
110,1088.7552,1359.0,0.1988556
68,1095.0853,1363.0,0.19656248
72,1087.4216,1401.0,0.22382468
132,1100.9849,1420.0,0.22465855
11,1086.7418,1421.0,0.23522744
121,1075.6714,1436.0,0.2509252
169,1090.9742,1446.0,0.24552265
147,1087.9465,1453.0,0.2512412
108,1097.1348,1473.0,0.25516987
113,1100.2518,1496.0,0.26453754
89,1093.9293,1544.0,0.29149655
60,1097.978,1567.0,0.29931206
154,1118.374,1578.0,0.2912712
126,1101.2112,1605.0,0.31388712
151,1130.5261,1618.0,0.30128175
77,1108.324,1672.0,0.33712682
155,1110.1746,1687.0,0.3419238
152,1149.4733,1695.0,0.32184467
148,1142.549,1706.0,0.3302761
22,1136.7897,1720.0,0.33907577
156,1141.5602,1735.0,0.34204024
70,1135.0852,1744.0,0.3491484
93,1144.4471,1776.0,0.35560408
30,1119.1782,1788.0,0.3740614
73,1133.0739,1802.0,0.37121317
54,1135.8629,1826.0,0.37795022
153,1162.6031,1857.0,0.37393475
4,1167.3267,1883.0,0.3800708
2,1147.3862,1892.0,0.39355907
7,1152.8243,1912.0,0.3970584
81,1164.4138,1928.0,0.39605093
165,1146.3696,1933.0,0.40694794
173,1166.5665,1987.0,0.4129006
123,1149.7261,2034.0,0.43474627
14,1186.2415,2088.0,0.4318767
18,1195.7179,2110.0,0.43330905
129,1185.4028,2115.0,0.43952584
51,1165.6667,2119.0,0.4498977
157,1208.6302,2150.0,0.4378464
24,1188.5775,2159.0,0.44947776
130,1186.9279,2160.0,0.45049638
118,1170.4053,2164.0,0.45914727
138,1211.0879,2193.0,0.44774833
96,1209.0068,2196.0,0.44945043
52,1191.1204,2215.0,0.46224815
37,1201.3604,2239.0,0.46343887
143,1217.1177,2358.0,0.48383474
164,1219.0748,2383.0,0.48842853
95,1233.83,2423.0,0.49078417
43,1236.5146,2463.0,0.497964
15,1227.7468,2514.0,0.5116361
170,1248.5905,2560.0,0.5122694
49,1266.2657,2584.0,0.5099591
87,1271.6223,2631.0,0.5166772
146,1285.9287,2977.0,0.56804544
26,1318.0941,3045.0,0.56712836
