target_mean,target_std,multiply_mean
0.0,0.0,0.0
6.0,0.0,532.8655314445496
32.0,0.0,6907.760948181152
79.0,0.0,34683.976543426514
112.0,0.0,64854.87951660156
220.0,0.0,186405.76442718506
290.0,0.0,310576.6698169708
367.0,0.0,482962.1636428833
519.0,0.0,692596.193324089
623.0,0.0,871725.8336267471
679.0,0.0,895091.0046758652
755.0,0.0,995228.9992141724
815.0,0.0,1046097.6921081543
831.0,0.0,985883.568775177
883.0,0.0,984814.9586296082
832.0,0.0,795330.1504211426
773.0,0.0,722552.7533302307
725.0,0.0,611708.7445497513
667.0,0.0,533375.3063087463
595.0,0.0,413295.57631611824
516.0,0.0,333622.60443019867
454.0,0.0,287351.4557213783
412.0,0.0,263686.23770332336
334.0,0.0,202045.93033123016
332.0,0.0,204747.56281089783
233.0,0.0,133109.92870426178
190.0,0.0,115812.16457366943
161.0,0.0,93909.14162015915
112.0,0.0,59456.63975524902
103.0,0.0,47542.55989027023
85.0,0.0,34250.93579888344
63.0,0.0,22588.470323324203
40.0,0.0,10748.228063583374
22.0,0.0,5981.955317974091
28.0,0.0,5981.632646560669
20.0,0.0,2189.3367648124695
10.0,0.0,1302.881999015808
5.0,0.0,219.26218405365944
9.0,0.0,567.9585989713669
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.0,2.9563615545630455
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
